L, R, motor_r, motor_l
561, 553, 0, 0
561, 553, 0, 0
561, 546, 0, 0
561, 546, -1, 1
561, 546, -1, 1
561, 546, -1, 1
561, 546, -2, 1
561, 546, -2, 2
561, 554, -3, 2
326, 554, -3, 3
326, 554, -4, 3
326, 554, -5, 3
573, 546, -5, 4
573, 546, -6, 4
573, 546, -6, 5
573, 553, -7, 5
573, 553, -7, 6
573, 553, -8, 6
573, 553, -8, 7
573, 553, -9, 7
573, 553, -10, 7
573, 553, -10, 8
573, 553, -11, 8
389, 553, -11, 9
389, 553, -12, 9
380, 496, -13, 10
380, 496, -14, 10
380, 496, -14, 11
380, 492, -15, 11
538, 492, -16, 12
538, 492, -16, 12
538, 494, -17, 13
538, 494, -17, 13
538, 494, -18, 13
538, 504, -19, 14
538, 504, -19, 14
538, 504, -20, 15
538, 326, -21, 15
538, 326, -21, 15
538, 326, -22, 16
538, 326, -22, 16
553, 326, -23, 17
553, 326, -23, 17
546, 326, -24, 17
546, 326, -25, 18
546, 1490, -26, 18
574, 1490, -26, 19
574, 1490, -27, 19
574, 1490, -27, 19
574, 1490, -28, 20
326, 1490, -29, 20
326, 1490, -29, 21
525, 527, -30, 21
525, 527, -31, 22
525, 527, -31, 22
525, 492, -32, 23
542, 492, -33, 23
542, 492, -33, 23
542, 488, -34, 24
542, 488, -35, 24
542, 488, -36, 25
542, 488, -36, 25
555, 488, -37, 25
555, 488, -37, 26
555, 488, -38, 26
561, 492, -39, 27
561, 492, -40, 27
561, 492, -40, 28
532, 492, -41, 28
532, 492, -41, 28
532, 492, -42, 29
554, 488, -43, 29
554, 488, -43, 30
554, 488, -44, 30
554, 490, -45, 31
563, 490, -45, 31
563, 490, -46, 31
563, 498, -47, 32
561, 498, -48, 33
561, 517, -49, 33
561, 517, -49, 33
561, 517, -50, 34
561, 517, -51, 34
561, 525, -51, 34
553, 525, -52, 35
553, 525, -53, 35
553, 525, -53, 35
544, 525, -54, 36
518, 518, -56, 37
518, 518, -56, 37
518, 511, -57, 38
518, 511, -57, 38
500, 511, -58, 39
500, 511, -59, 39
500, 511, -59, 39
496, 490, -60, 40
496, 490, -61, 40
496, 481, -61, 41
500, 481, -62, 41
500, 481, -63, 41
500, 474, -63, 42
534, 474, -64, 42
534, 474, -65, 43
534, 473, -65, 43
534, 473, -66, 43
555, 473, -67, 44
555, 473, -67, 44
496, 473, -68, 45
496, 473, -69, 45
496, 473, -69, 45
483, 469, -70, 46
483, 469, -71, 46
483, 469, -71, 47
483, 464, -72, 47
483, 464, -73, 48
483, 469, -74, 48
483, 469, -74, 48
496, 469, -75, 49
496, 471, -76, 49
490, 471, -76, 50
490, 471, -77, 50
490, 471, -78, 51
483, 471, -78, 51
483, 471, -79, 51
483, 471, -79, 52
483, 464, -80, 52
483, 464, -81, 52
483, 464, -81, 53
483, 464, -83, 54
483, 464, -83, 54
483, 471, -84, 55
479, 471, -85, 55
479, 471, -85, 55
479, 475, -86, 56
479, 475, -87, 56
479, 475, -87, 57
479, 481, -88, 57
479, 481, -89, 57
479, 481, -89, 58
479, 481, -90, 58
479, 483, -91, 59
474, 483, -91, 59
474, 483, -92, 60
474, 490, -93, 60
474, 490, -93, 61
474, 490, -94, 61
474, 483, -95, 61
474, 483, -95, 62
474, 483, -96, 62
474, 527, -97, 63
474, 527, -97, 63
474, 527, -98, 63
474, 527, -99, 64
474, 500, -99, 64
475, 500, -100, 65
475, 500, -101, 65
475, 500, -101, 66
471, 500, -102, 66
471, 500, -103, 67
471, 496, -103, 67
471, 496, -104, 67
471, 496, -105, 68
471, 496, -105, 68
471, 496, -106, 69
471, 496, -107, 69
471, 492, -108, 70
471, 492, -108, 70
475, 492, -109, 71
475, 492, -110, 71
475, 496, -110, 71
471, 496, -111, 72
471, 496, -112, 72
471, 496, -112, 73
471, 496, -113, 73
471, 496, -114, 73
471, 496, -114, 74
326, 496, -115, 74
326, 496, -116, 75
326, 496, -116, 75
464, 469, -117, 76
464, 469, -118, 76
464, 326, -119, 77
469, 326, -120, 77
469, 326, -121, 78
464, 481, -121, 78
464, 481, -122, 79
464, 481, -123, 79
473, 326, -123, 80
473, 326, -124, 80
473, 326, -125, 80
474, 500, -125, 81
474, 500, -126, 81
474, 500, -127, 82
456, 500, -127, 82
456, 500, -128, 83
456, 500, -129, 83
474, 500, -129, 83
474, 500, -130, 84
474, 329, -131, 84
474, 329, -131, 85
443, 518, -132, 85
443, 518, -133, 86
443, 518, -133, 86
483, 345, -134, 87
483, 345, -134, 87
483, 345, -135, 87
435, 527, -136, 88
435, 527, -136, 88
435, 527, -137, 89
490, 357, -138, 89
490, 357, -138, 89
490, 357, -139, 90
427, 538, -140, 90
427, 538, -140, 91
427, 538, -141, 91
498, 374, -141, 91
498, 374, -142, 92
498, 374, -143, 92
498, 374, -143, 93
420, 546, -144, 93
607, 393, -146, 94
607, 393, -147, 95
607, 393, -147, 95
420, 526, -148, 96
420, 526, -149, 96
420, 526, -149, 97
511, 404, -150, 97
511, 404, -151, 97
511, 404, -152, 98
411, 515, -152, 98
411, 515, -153, 99
411, 399, -154, 99
590, 399, -155, 100
590, 399, -155, 100
412, 523, -156, 101
412, 523, -157, 101
412, 523, -157, 101
555, 408, -158, 102
555, 408, -159, 102
555, 408, -160, 103
420, 607, -160, 103
420, 607, -161, 104
420, 607, -162, 104
420, 437, -163, 104
578, 437, -163, 105
578, 437, -164, 105
488, 437, -165, 106
488, 437, -166, 106
488, 437, -166, 106
492, 437, -167, 107
492, 437, -168, 107
492, 437, -168, 107
487, 437, -169, 108
487, 437, -170, 108
487, 437, -170, 109
487, 437, -171, 109
488, 437, -172, 109
488, 437, -172, 110
488, 437, -173, 110
454, 437, -174, 111
454, 1676, -174, 111
454, 1676, -175, 111
483, 1676, -176, 112
483, 1676, -176, 112
483, 1657, -177, 113
496, 1657, -178, 113
496, 1657, -178, 113
496, 1657, -179, 114
496, 1657, -180, 114
496, 1657, -180, 115
496, 1657, -181, 115
496, 1657, -181, 115
496, 1657, -182, 116
496, 1657, -183, 116
496, 121, -183, 116
496, 121, -184, 117
496, 121, -185, 117
496, 121, -185, 117
496, 121, -186, 118
496, 121, -187, 118
496, 121, -187, 119
496, 121, -188, 119
496, 121, -189, 120
496, 121, -189, 120
2550, 121, -190, 120
2550, 121, -191, 121
2550, 121, -191, 121
2550, 121, -192, 121
2550, 121, -193, 122
2550, 121, -193, 122
2550, 121, -194, 123
2550, 121, -195, 123
2550, 121, -195, 123
2550, 121, -196, 124
2550, 121, -196, 124
2550, 121, -197, 124
2550, 121, -198, 125
2550, 121, -198, 125
2550, 121, -199, 125
2550, 121, -199, 126
2550, 121, -200, 126
2550, 121, -201, 126
2550, 121, -201, 127
2550, 121, -202, 127
2550, 977, -203, 128
2550, 977, -203, 128
2550, 977, -204, 128
2550, 977, -205, 129
2550, 977, -206, 129
2550, 977, -206, 130
2550, 977, -207, 130
2550, 977, -207, 130
2550, 977, -208, 131
2550, 977, -209, 131
2550, 977, -209, 131
2550, 977, -210, 132
2550, 977, -211, 132
2550, 977, -211, 133
2550, 977, -212, 133
2550, 977, -213, 133
2550, 977, -213, 134
2550, 19, -214, 134
2550, 19, -215, 135
2550, 19, -215, 135
2550, 126, -216, 135
2550, 126, -217, 136
2550, 126, -217, 136
2550, 128, -218, 137
2550, 128, -219, 137
2550, 128, -219, 137
2550, 128, -220, 138
2550, 128, -220, 138
2550, 128, -221, 138
2550, 130, -222, 139
2550, 130, -222, 139
2550, 130, -223, 139
433, 130, -224, 140
433, 130, -225, 141
433, 130, -225, 141
433, 130, -226, 141
433, 130, -227, 142
433, 130, -227, 142
433, 130, -228, 143
433, 130, -228, 143
433, 130, -229, 143
433, 130, -229, 143
326, 30, -230, 144
326, 30, -231, 144
326, 30, -231, 145
326, 128, -232, 145
326, 128, -233, 145
326, 128, -233, 145
