L, R, motor_r, motor_l
605, 341, 0, 0
605, 341, 0, 0
605, 341, 0, 0
605, 341, -1, 0
605, 341, -1, 0
605, 655, -1, 1
605, 655, -2, 1
605, 655, -2, 1
605, 655, -3, 2
605, 662, -4, 2
605, 662, -4, 2
605, 662, -5, 3
605, 605, -6, 3
605, 605, -7, 4
605, 605, -8, 4
617, 622, -9, 5
617, 622, -9, 5
617, 622, -10, 5
645, 326, -11, 6
645, 326, -11, 6
645, 326, -12, 7
427, 559, -13, 7
427, 559, -13, 8
427, 559, -14, 8
427, 559, -15, 8
504, 641, -15, 9
504, 641, -16, 9
504, 326, -17, 10
504, 326, -17, 10
622, 326, -18, 11
622, 326, -19, 11
448, 326, -20, 12
448, 326, -21, 13
443, 326, -22, 13
443, 326, -22, 14
443, 326, -23, 14
425, 326, -23, 14
425, 326, -24, 15
425, 326, -25, 15
425, 326, -26, 16
425, 326, -26, 16
425, 326, -27, 16
425, 614, -27, 17
425, 614, -28, 18
425, 614, -29, 18
425, 614, -29, 18
425, 614, -30, 19
425, 614, -31, 19
425, 622, -31, 20
425, 622, -32, 20
425, 622, -33, 20
425, 622, -33, 21
425, 622, -34, 21
425, 622, -35, 22
639, 622, -35, 22
639, 622, -36, 23
639, 622, -37, 23
639, 622, -37, 23
639, 622, -38, 24
639, 633, -39, 24
639, 633, -40, 25
639, 633, -40, 25
639, 633, -41, 25
639, 633, -41, 26
639, 633, -42, 26
668, 633, -43, 26
668, 633, -43, 27
668, 633, -44, 27
668, 633, -45, 28
668, 633, -45, 28
668, 633, -46, 29
668, 710, -46, 29
668, 710, -47, 29
668, 710, -47, 30
668, 710, -48, 30
668, 710, -49, 30
668, 710, -49, 31
668, 710, -50, 31
668, 710, -51, 32
668, 710, -51, 32
668, 710, -52, 32
668, 710, -53, 33
668, 710, -53, 33
668, 710, -54, 34
668, 710, -55, 34
668, 710, -56, 35
668, 710, -56, 35
668, 710, -57, 35
668, 710, -58, 36
668, 710, -58, 36
668, 710, -59, 37
668, 710, -60, 37
668, 710, -60, 38
668, 710, -61, 38
668, 681, -63, 39
668, 439, -63, 39
668, 439, -64, 40
668, 439, -65, 40
488, 618, -65, 41
488, 618, -66, 41
488, 618, -66, 42
483, 624, -67, 42
483, 624, -68, 42
483, 624, -68, 43
567, 625, -69, 44
567, 625, -70, 44
567, 625, -71, 45
551, 641, -71, 45
551, 641, -72, 46
551, 641, -73, 46
551, 641, -73, 46
551, 641, -74, 47
551, 641, -75, 47
551, 641, -75, 48
551, 641, -76, 48
551, 641, -77, 49
551, 641, -77, 49
551, 641, -78, 50
551, 641, -79, 50
641, 641, -79, 51
641, 641, -80, 51
641, 641, -80, 52
380, 641, -81, 52
380, 641, -82, 53
380, 641, -83, 53
538, 483, -83, 54
538, 483, -84, 54
538, 483, -84, 55
538, 483, -85, 55
677, 483, -85, 56
677, 483, -86, 56
677, 483, -87, 57
519, 483, -88, 57
519, 483, -88, 58
519, 490, -89, 59
519, 490, -90, 59
519, 490, -91, 60
651, 658, -91, 61
651, 658, -92, 61
651, 658, -93, 61
651, 658, -93, 62
517, 498, -94, 63
517, 498, -95, 63
657, 630, -96, 64
657, 630, -96, 64
657, 630, -97, 65
657, 630, -98, 65
490, 515, -98, 66
490, 515, -99, 66
