L, R, motor_r, motor_l
326, 542, -190, 130
326, 542, -191, 130
326, 101, -191, 130
326, 101, -192, 131
326, 101, -193, 131
326, 103, -193, 132
326, 103, -194, 132
326, 103, -195, 133
326, 122, -195, 133
326, 122, -196, 133
506, 122, -197, 134
506, 122, -197, 134
506, 122, -198, 135
506, 122, -199, 135
506, 122, -199, 136
506, 122, -200, 136
506, 122, -201, 136
506, 1563, -201, 137
506, 1563, -202, 137
1670, 1563, -202, 138
1670, 1563, -203, 138
1670, 2550, -204, 138
1670, 2550, -204, 139
1708, 2550, -205, 139
1708, 2550, -206, 140
1708, 2550, -206, 140
1708, 2550, -207, 141
1708, 2550, -208, 141
2550, 2550, -208, 142
2550, 2550, -209, 142
2550, 970, -210, 142
2550, 970, -210, 143
2550, 970, -211, 143
2550, 970, -212, 144
2550, 2550, -212, 144
2550, 2550, -213, 145
2550, 2550, -214, 145
2550, 2550, -215, 146
2550, 2550, -215, 146
2550, 2550, -216, 146
2550, 2550, -216, 147
2550, 2550, -217, 147
2550, 101, -218, 148
2550, 101, -218, 148
2550, 101, -219, 148
2550, 103, -220, 149
2550, 103, -220, 149
2550, 103, -221, 149
2550, 94, -221, 150
2550, 94, -222, 150
2550, 94, -222, 150
2550, 94, -223, 151
2550, 94, -224, 151
2550, 94, -224, 151
2550, 94, -225, 152
2550, 94, -225, 152
2550, 94, -226, 153
2550, 94, -227, 153
2550, 94, -228, 154
2550, 94, -228, 154
2550, 94, -229, 154
2550, 94, -229, 155
2550, 962, -230, 155
2550, 962, -231, 156
2550, 962, -231, 156
2550, 962, -232, 156
2550, 962, -232, 157
2550, 962, -233, 157
2550, 962, -234, 158
2550, 962, -234, 158
2550, 962, -235, 158
2550, 962, -236, 159
2550, 962, -236, 159
121, 962, -237, 160
121, 94, -238, 160
121, 94, -238, 160
118, 94, -240, 161
118, 94, -241, 162
118, 94, -241, 162
118, 94, -242, 163
118, 99, -243, 163
118, 99, -243, 164
118, 99, -244, 164
118, 99, -245, 165
118, 99, -245, 165
114, 99, -246, 166
114, 99, -247, 166
112, 99, -248, 167
112, 99, -248, 167
112, 99, -249, 168
112, 99, -250, 168
112, 99, -250, 168
107, 99, -251, 169
107, 95, -252, 169
107, 95, -252, 170
107, 95, -253, 170
107, 95, -254, 171
107, 95, -254, 171
103, 95, -255, 172
103, 95, -256, 172
103, 95, -256, 172
103, 95, -257, 173
103, 95, -258, 173
101, 94, -258, 174
101, 94, -259, 174
101, 94, -260, 175
101, 94, -260, 175
103, 94, -261, 176
103, 94, -262, 176
103, 94, -263, 177
103, 94, -263, 177
103, 94, -264, 178
103, 94, -265, 178
103, 94, -265, 178
103, 94, -266, 179
103, 94, -267, 179
103, 94, -268, 180
103, 99, -268, 180
103, 99, -269, 181
107, 99, -270, 181
107, 99, -271, 182
107, 99, -272, 182
107, 99, -272, 182
107, 99, -273, 183
112, 99, -274, 183
112, 99, -275, 184
112, 99, -275, 184
112, 99, -276, 184
112, 99, -276, 185
112, 99, -277, 185
112, 101, -278, 186
112, 101, -279, 186
112, 101, -279, 187
112, 101, -280, 187
112, 101, -281, 187
