L, R, motor_r, motor_l
326, 326, -232, 147
326, 326, -234, 148
326, 326, -234, 149
326, 326, -235, 149
326, 326, -236, 150
326, 326, -237, 150
326, 326, -238, 151
326, 46, -239, 151
326, 46, -239, 152
326, 46, -240, 152
326, 145, -241, 153
326, 145, -242, 154
326, 145, -242, 154
326, 145, -243, 155
326, 145, -244, 155
326, 145, -245, 156
326, 145, -245, 156
326, 145, -246, 157
326, 145, -247, 158
326, 145, -247, 158
326, 145, -248, 159
326, 145, -249, 159
326, 145, -250, 160
326, 145, -251, 160
326, 145, -251, 161
326, 17, -252, 162
326, 17, -253, 162
326, 17, -253, 163
326, 149, -254, 163
326, 149, -255, 164
326, 149, -256, 164
173, 149, -257, 165
173, 149, -258, 166
173, 149, -258, 166
173, 149, -259, 167
173, 147, -260, 167
173, 147, -261, 168
166, 149, -262, 169
166, 149, -262, 169
166, 149, -263, 170
166, 154, -264, 170
166, 154, -265, 171
166, 154, -266, 171
162, 149, -267, 172
162, 149, -267, 173
162, 149, -268, 173
162, 149, -269, 174
166, 149, -270, 174
166, 149, -271, 175
162, 149, -272, 176
162, 149, -273, 176
162, 149, -274, 177
162, 149, -275, 178
162, 149, -276, 178
162, 149, -276, 179
157, 149, -277, 179
157, 149, -278, 180
157, 149, -279, 180
164, 147, -280, 181
164, 147, -281, 182
164, 147, -281, 182
157, 147, -282, 183
157, 147, -283, 183
157, 147, -284, 184
166, 154, -285, 185
166, 154, -286, 185
166, 154, -287, 186
164, 154, -288, 187
164, 154, -288, 187
164, 154, -289, 188
164, 154, -290, 188
164, 154, -291, 189
164, 154, -292, 189
164, 156, -293, 190
164, 156, -294, 191
164, 156, -294, 191
164, 157, -295, 192
164, 157, -296, 192
164, 157, -297, 193
164, 166, -298, 194
164, 166, -299, 194
164, 166, -299, 195
162, 158, -300, 195
162, 158, -301, 196
162, 158, -302, 197
158, 158, -303, 197
158, 158, -304, 198
158, 158, -305, 198
158, 157, -306, 199
158, 157, -306, 199
158, 157, -307, 200
158, 164, -308, 201
158, 164, -309, 201
158, 164, -310, 202
158, 166, -311, 202
158, 166, -311, 203
158, 166, -312, 203
158, 175, -313, 204
158, 175, -314, 204
158, 175, -315, 205
158, 170, -315, 206
158, 170, -316, 206
158, 170, -317, 207
162, 170, -318, 207
162, 166, -319, 208
162, 166, -320, 209
166, 164, -321, 209
166, 164, -322, 210
166, 164, -323, 210
166, 162, -323, 211
166, 162, -324, 211
166, 162, -325, 212
166, 166, -326, 213
166, 166, -327, 213
166, 166, -327, 213
166, 166, -328, 214
166, 166, -329, 215
166, 166, -330, 215
166, 166, -331, 216
166, 166, -331, 216
170, 166, -332, 217
170, 173, -333, 217
170, 173, -334, 218
173, 173, -335, 218
173, 183, -336, 219
173, 183, -337, 219
173, 183, -337, 220
173, 183, -338, 221
173, 183, -339, 221
173, 183, -340, 221
173, 183, -341, 222
173, 183, -341, 223
173, 183, -342, 223
173, 183, -343, 223
173, 183, -344, 224
173, 183, -345, 224
173, 183, -345, 225
173, 183, -346, 225
173, 183, -347, 226
147, 183, -348, 227
147, 183, -349, 227
147, 183, -350, 228
147, 199, -351, 228
147, 199, -353, 230
147, 199, -353, 230
147, 199, -354, 231
147, 199, -355, 231
147, 199, -356, 232
147, 199, -357, 232
147, 199, -357, 233
147, 199, -358, 233
147, 199, -359, 234
147, 199, -360, 234
147, 199, -361, 235
147, 199, -361, 235
147, 195, -362, 236
147, 195, -363, 236
147, 195, -364, 237
147, 197, -365, 238
147, 197, -366, 238
147, 197, -367, 239
147, 197, -368, 239
147, 197, -369, 240
147, 197, -369, 241
147, 197, -370, 241
147, 197, -371, 242
147, 197, -372, 242
147, 197, -373, 243
147, 197, -373, 243
147, 197, -374, 244
147, 197, -375, 244
147, 197, -376, 245
147, 211, -376, 245
147, 211, -377, 246
147, 211, -378, 246
147, 211, -379, 247
147, 211, -379, 247
147, 211, -380, 248
147, 211, -381, 248
147, 211, -382, 249
147, 211, -382, 249
147, 211, -383, 250
122, 321, -384, 251
122, 321, -385, 251
122, 321, -386, 252
122, 326, -387, 252
122, 326, -387, 253
122, 326, -388, 253
326, 326, -389, 254
326, 326, -390, 255
326, 326, -390, 255
326, 326, -391, 255
326, 326, -392, 256
326, 326, -393, 257
326, 326, -393, 257
326, 326, -394, 258
326, 326, -395, 258
326, 326, -396, 259
326, 326, -396, 259
326, 326, -397, 260
326, 326, -398, 260
205, 883, -399, 261
205, 883, -400, 261
205, 883, -401, 262
205, 883, -401, 263
209, 810, -402, 263
209, 810, -403, 264
209, 810, -403, 264
326, 810, -404, 265
326, 810, -405, 265
326, 810, -406, 266
326, 321, -407, 267
326, 321, -408, 267
326, 321, -408, 268
326, 326, -410, 269
326, 326, -411, 269
326, 326, -411, 270
326, 321, -412, 270
326, 321, -413, 271
326, 321, -414, 271
326, 321, -415, 272
326, 321, -415, 273
869, 321, -416, 273
869, 321, -417, 274
869, 321, -418, 274
869, 321, -419, 275
869, 321, -419, 275
869, 321, -420, 276
869, 689, -421, 277
869, 689, -422, 277
869, 689, -423, 278
869, 689, -424, 278
869, 689, -425, 279
869, 689, -425, 279
823, 689, -426, 280
823, 689, -427, 280
823, 689, -427, 281
823, 689, -428, 281
823, 689, -429, 282
849, 689, -430, 283
849, 689, -431, 283
849, 689, -431, 284
849, 689, -432, 284
2550, 689, -433, 285
2550, 689, -434, 285
2550, 689, -435, 286
2550, 689, -436, 286
833, 689, -437, 287
833, 689, -437, 287
833, 689, -438, 288
833, 689, -439, 288
833, 689, -440, 289
833, 689, -440, 289
833, 689, -441, 290
833, 689, -442, 291
833, 689, -443, 291
833, 595, -443, 292
833, 595, -444, 292
833, 595, -445, 293
833, 595, -446, 293
833, 326, -447, 294
833, 326, -447, 294
833, 326, -448, 295
609, 554, -449, 295
609, 554, -449, 296
609, 554, -450, 296
609, 554, -451, 297
598, 578, -452, 298
598, 578, -453, 298
595, 578, -454, 299
595, 578, -455, 300
595, 578, -456, 300
595, 578, -457, 301
595, 578, -457, 301
595, 578, -458, 302
595, 578, -459, 302
595, 410, -460, 303
595, 410, -460, 303
595, 410, -461, 304
595, 326, -462, 305
595, 326, -463, 305
595, 326, -464, 306
595, 326, -464, 306
595, 582, -467, 308
519, 561, -468, 308
519, 561, -468, 309
519, 561, -469, 310
510, 561, -470, 310
510, 561, -471, 311
510, 561, -472, 311
385, 561, -473, 312
385, 561, -473, 313
385, 561, -474, 313
385, 561, -475, 314
578, 321, -476, 315
578, 321, -477, 315
578, 321, -478, 316
586, 326, -479, 316
586, 326, -479, 317
586, 326, -480, 317
567, 435, -481, 318
567, 435, -482, 319
567, 435, -483, 319
567, 435, -483, 320
498, 643, -484, 320
498, 643, -485, 321
498, 643, -486, 322
563, 643, -487, 322
563, 456, -488, 323
563, 456, -489, 323
504, 597, -489, 324
504, 597, -490, 325
504, 597, -491, 325
504, 597, -492, 326
491, 580, -493, 327
491, 580, -493, 327
491, 580, -494, 328
490, 588, -495, 328
490, 588, -495, 329
490, 588, -496, 330
490, 588, -497, 330
483, 588, -498, 331
483, 645, -499, 332
