motorB, motorC, infra, time
1403, -1493, 51, 1993
1408, -1498, 52, 1999
1413, -1504, 52, 2007
1418, -1510, 52, 2014
1424, -1516, 52, 2022
1429, -1521, 52, 2028
1433, -1526, 52, 2034
1438, -1532, 52, 2042
1443, -1537, 52, 2049
1449, -1544, 53, 2056
1454, -1549, 53, 2064
1460, -1555, 53, 2071
1465, -1561, 53, 2078
1470, -1567, 53, 2086
1474, -1571, 53, 2091
1479, -1576, 53, 2097
1485, -1582, 55, 2105
1490, -1587, 55, 2112
1495, -1593, 55, 2119
1501, -1600, 55, 2127
1506, -1605, 55, 2134
1511, -1611, 55, 2141
1517, -1616, 55, 2148
1522, -1622, 52, 2156
1526, -1626, 52, 2161
1531, -1632, 52, 2168
1538, -1639, 52, 2177
1544, -1645, 52, 2184
1549, -1650, 52, 2191
1554, -1656, 52, 2198
1560, -1662, 54, 2206
1564, -1667, 54, 2212
1569, -1672, 54, 2218
1575, -1677, 54, 2226
1579, -1683, 54, 2232
1590, -1694, 54, 2246
1595, -1699, 54, 2252
1600, -1704, 51, 2259
1605, -1709, 51, 2266
1610, -1714, 51, 2272
1616, -1721, 51, 2281
1621, -1727, 51, 2288
1627, -1733, 51, 2295
1631, -1737, 51, 2300
1637, -1743, 49, 2308
1642, -1748, 49, 2315
1647, -1753, 49, 2322
1653, -1760, 49, 2330
1658, -1765, 49, 2337
1664, -1772, 49, 2345
1667, -1776, 49, 2350
1673, -1781, 47, 2357
1678, -1787, 47, 2365
1683, -1792, 47, 2371
1689, -1799, 47, 2379
1694, -1804, 47, 2387
1699, -1809, 47, 2394
1704, -1814, 47, 2400
1709, -1820, 48, 2407
1715, -1826, 48, 2415
1719, -1831, 48, 2421
1725, -1838, 48, 2429
1730, -1843, 48, 2436
1735, -1849, 48, 2444
1740, -1854, 48, 2450
1745, -1860, 48, 2457
1751, -1866, 47, 2465
1755, -1870, 47, 2471
1760, -1878, 47, 2480
1766, -1883, 47, 2487
1771, -1889, 47, 2494
1775, -1893, 47, 2499
1781, -1899, 47, 2507
1786, -1905, 47, 2514
1791, -1910, 47, 2521
1795, -1915, 47, 2527
1801, -1921, 47, 2536
1807, -1928, 47, 2544
1812, -1933, 47, 2550
1817, -1938, 47, 2557
1823, -1945, 52, 2565
1827, -1950, 52, 2571
1832, -1955, 52, 2578
1839, -1962, 52, 2587
1843, -1968, 52, 2594
1849, -1973, 52, 2600
1855, -1979, 52, 2608
1868, -1993, 55, 2626
1875, -2000, 55, 2635
1883, -2010, 55, 2647
1889, -2016, 55, 2654
1894, -2021, 55, 2661
1899, -2027, 63, 2668
1906, -2034, 63, 2678
1912, -2041, 63, 2686
1917, -2046, 63, 2692
1921, -2050, 63, 2698
1927, -2056, 63, 2705
1932, -2061, 63, 2712
1937, -2068, 66, 2720
1942, -2073, 66, 2726
1947, -2078, 66, 2734
1954, -2084, 66, 2742
1959, -2090, 66, 2749
1964, -2095, 66, 2755
1969, -2100, 66, 2761
1974, -2106, 67, 2768
1980, -2113, 67, 2777
1985, -2118, 67, 2784
1991, -2124, 67, 2791
1996, -2129, 67, 2798
2001, -2135, 67, 2805
2006, -2140, 67, 2811
2011, -2145, 66, 2818
2016, -2151, 66, 2825
2021, -2156, 66, 2831
2027, -2163, 66, 2840
2033, -2169, 66, 2848
2039, -2175, 66, 2855
2043, -2179, 66, 2861
2048, -2185, 66, 2868
2054, -2191, 66, 2876
2058, -2196, 66, 2883
