motorB, motorC, infra, time
0, 0, 66, 21
1, 0, 66, 31
2, -2, 66, 42
4, -4, 66, 49
6, -6, 66, 57
9, -9, 66, 65
13, -14, 66, 77
16, -17, 66, 84
21, -22, 66, 94
25, -26, 67, 102
29, -30, 67, 109
35, -36, 67, 120
39, -41, 67, 129
45, -45, 67, 137
50, -51, 67, 147
55, -56, 66, 155
59, -60, 66, 161
65, -67, 66, 172
74, -75, 66, 184
78, -79, 66, 191
83, -84, 67, 199
90, -91, 67, 208
97, -98, 67, 217
100, -103, 67, 224
112, -120, 67, 248
125, -127, 66, 257
130, -132, 66, 264
140, -143, 66, 278
148, -151, 66, 289
154, -157, 66, 297
162, -166, 60, 309
171, -175, 60, 321
176, -180, 60, 328
182, -186, 60, 335
190, -195, 60, 346
197, -202, 52, 355
205, -211, 52, 367
211, -217, 52, 374
215, -222, 52, 381
221, -228, 52, 389
229, -236, 52, 400
235, -243, 44, 409
241, -249, 44, 416
247, -256, 44, 425
253, -262, 44, 433
262, -272, 44, 445
269, -282, 42, 458
276, -288, 42, 465
283, -295, 42, 474
290, -303, 42, 484
297, -310, 42, 494
304, -318, 42, 504
310, -324, 41, 512
317, -332, 41, 523
322, -337, 41, 529
328, -344, 41, 538
343, -361, 43, 559
350, -367, 43, 567
357, -375, 43, 577
362, -381, 43, 584
370, -389, 43, 595
377, -396, 43, 605
383, -403, 46, 614
390, -411, 46, 624
401, -422, 46, 637
409, -430, 46, 648
415, -437, 46, 656
422, -444, 51, 666
429, -452, 51, 675
437, -459, 51, 685
441, -464, 51, 692
449, -473, 51, 702
457, -480, 51, 712
462, -487, 54, 720
469, -494, 54, 728
475, -501, 54, 737
484, -511, 54, 750
491, -517, 54, 757
496, -523, 53, 765
504, -530, 53, 774
512, -539, 53, 785
515, -543, 53, 790
522, -549, 53, 798
527, -557, 53, 808
537, -565, 55, 818
543, -572, 55, 827
549, -579, 55, 835
558, -588, 55, 847
565, -596, 55, 857
570, -602, 55, 864
577, -609, 54, 874
585, -617, 54, 884
591, -624, 54, 892
597, -632, 54, 903
605, -637, 54, 910
612, -646, 53, 920
619, -655, 53, 932
626, -660, 53, 939
632, -667, 53, 948
640, -676, 53, 958
650, -686, 49, 971
657, -694, 49, 981
664, -701, 49, 991
671, -709, 49, 1001
677, -715, 49, 1009
683, -722, 49, 1017
702, -742, 50, 1044
710, -751, 50, 1054
715, -756, 50, 1061
727, -769, 47, 1077
736, -778, 47, 1090
742, -785, 47, 1098
749, -792, 47, 1107
755, -798, 47, 1115
760, -803, 47, 1121
767, -811, 46, 1131
773, -817, 46, 1138
778, -823, 46, 1146
785, -829, 46, 1162
796, -841, 46, 1170
802, -848, 48, 1177
807, -854, 48, 1185
818, -865, 48, 1200
828, -875, 48, 1213
840, -889, 48, 1229
848, -896, 48, 1239
853, -902, 48, 1247
863, -912, 48, 1259
867, -917, 48, 1265
873, -922, 48, 1272
881, -932, 53, 1284
887, -937, 53, 1291
892, -943, 53, 1298
901, -952, 53, 1310
906, -958, 53, 1317
910, -962, 53, 1322
916, -968, 56, 1330
922, -974, 56, 1337
927, -980, 56, 1345
932, -986, 56, 1351
942, -996, 56, 1365
947, -1001, 56, 1372
952, -1007, 56, 1379
957, -1013, 65, 1386
962, -1018, 65, 1392
966, -1022, 65, 1398
972, -1028, 65, 1405
977, -1034, 65, 1413
982, -1039, 65, 1419
987, -1044, 65, 1426
991, -1050, 66, 1437
1001, -1060, 66, 1445
1005, -1065, 66, 1451
1011, -1072, 66, 1460
1016, -1077, 66, 1467
1022, -1083, 66, 1475
1027, -1088, 66, 1481
1032, -1094, 68, 1488
1037, -1099, 68, 1496
1041, -1105, 68, 1502
1047, -1111, 68, 1510
1053, -1117, 68, 1518
1058, -1123, 68, 1525
1063, -1127, 68, 1531
1068, -1134, 66, 1539
1073, -1139, 66, 1546
1078, -1144, 66, 1554
1083, -1150, 66, 1561
1089, -1157, 66, 1568
1095, -1162, 66, 1576
1100, -1168, 66, 1582
1104, -1172, 66, 1588
1117, -1187, 66, 1606
1123, -1193, 66, 1614
1128, -1198, 66, 1620
1133, -1203, 66, 1627
1138, -1209, 66, 1634
1144, -1215, 57, 1642
1149, -1220, 57, 1649
1154, -1225, 57, 1655
1158, -1230, 57, 1661
1165, -1238, 57, 1671
1171, -1244, 57, 1679
1176, -1250, 57, 1686
1181, -1255, 46, 1692
1187, -1261, 46, 1699
1192, -1266, 46, 1706
1197, -1273, 46, 1715
1203, -1278, 46, 1721
1208, -1283, 46, 1728
1212, -1289, 46, 1734
1218, -1294, 43, 1741
1223, -1299, 43, 1748
1229, -1305, 43, 1755
1234, -1310, 43, 1762
1241, -1318, 43, 1771
1246, -1324, 43, 1778
1251, -1329, 43, 1785
1255, -1333, 43, 1790
1260, -1339, 42, 1797
1265, -1344, 42, 1804
1271, -1350, 42, 1811
1276, -1356, 42, 1819
1281, -1361, 42, 1826
1286, -1366, 42, 1832
1296, -1377, 42, 1845
1301, -1382, 42, 1851
1306, -1388, 42, 1859
1311, -1393, 42, 1867
1318, -1400, 42, 1874
1322, -1405, 42, 1881
1327, -1410, 42, 1888
1331, -1416, 44, 1894
1337, -1421, 44, 1900
1342, -1427, 44, 1908
1347, -1432, 44, 1915
1354, -1439, 44, 1924
1359, -1444, 44, 1931
1363, -1450, 44, 1938
1369, -1456, 44, 1946
1374, -1461, 44, 1952
1379, -1466, 51, 1959
1383, -1471, 51, 1964
1388, -1477, 51, 1972
1393, -1483, 51, 1979
1399, -1488, 51, 1986
