L, R
1022, 475
1022, 475
1022, 475
1022, 475
1022, 645
1022, 645
1022, 645
1022, 645
1022, 645
1022, 645
1022, 645
1022, 651
1022, 651
1022, 651
1022, 651
1022, 651
1022, 653
963, 653
963, 653
963, 653
963, 653
963, 662
963, 662
963, 662
963, 662
963, 658
963, 658
963, 658
963, 658
963, 658
963, 595
963, 595
963, 595
963, 661
963, 661
963, 661
963, 661
963, 643
963, 643
963, 643
963, 643
963, 654
963, 654
963, 654
963, 654
963, 654
963, 649
963, 649
963, 649
963, 649
963, 651
963, 651
963, 662
963, 662
963, 662
963, 662
963, 662
666, 681
666, 681
666, 681
666, 681
666, 681
