L, R
404, 326
399, 326
399, 326
399, 326
399, 326
399, 326
399, 326
399, 326
399, 326
399, 326
399, 326
399, 326
399, 326
399, 326
399, 326
399, 326
399, 326
399, 326
391, 321
391, 321
391, 321
391, 321
391, 321
391, 321
392, 603
392, 603
392, 603
392, 603
392, 603
392, 603
553, 326
553, 326
553, 326
553, 326
553, 326
393, 321
393, 321
393, 321
393, 321
393, 321
393, 321
384, 326
384, 326
384, 326
384, 326
384, 326
383, 635
383, 635
383, 635
383, 635
383, 635
383, 635
383, 635
326, 455
326, 455
326, 455
326, 455
326, 455
326, 469
326, 469
326, 469
326, 469
326, 469
483, 374
483, 374
483, 374
483, 374
483, 326
326, 326
326, 326
326, 326
326, 326
326, 721
326, 721
326, 721
326, 721
326, 721
598, 721
598, 721
598, 721
598, 721
598, 721
598, 721
598, 721
598, 721
598, 721
598, 721
598, 721
598, 721
598, 721
598, 721
598, 326
598, 326
598, 326
598, 326
598, 326
598, 326
598, 326
598, 326
598, 326
598, 326
598, 326
598, 326
598, 326
598, 326
598, 326
598, 326
598, 326
598, 326
598, 326
598, 326
598, 326
598, 326
598, 326
598, 326
598, 326
598, 326
598, 326
598, 326
598, 326
598, 326
598, 326
598, 326
598, 326
598, 326
598, 326
598, 326
598, 326
598, 326
598, 326
598, 326
598, 326
598, 326
598, 326
598, 326
598, 326
598, 326
598, 326
598, 326
598, 326
728, 475
728, 475
728, 475
728, 475
728, 475
728, 475
580, 710
580, 710
580, 710
580, 710
580, 710
580, 710
580, 616
722, 616
722, 616
722, 616
722, 616
722, 616
722, 616
527, 607
527, 607
527, 607
527, 607
527, 607
532, 616
532, 616
532, 616
532, 616
532, 616
680, 635
680, 635
680, 635
680, 635
680, 635
680, 635
590, 614
590, 614
590, 614
590, 614
590, 614
590, 614
345, 614
345, 614
345, 614
345, 614
345, 614
345, 614
345, 614
345, 614
345, 614
345, 614
345, 614
345, 614
345, 614
345, 624
345, 624
345, 624
345, 624
504, 622
504, 622
504, 622
504, 622
504, 622
504, 622
504, 622
509, 622
509, 622
509, 645
509, 645
509, 645
592, 517
592, 517
592, 517
592, 517
592, 517
592, 517
591, 525
591, 525
591, 525
591, 525
591, 525
591, 525
607, 518
607, 518
607, 518
607, 518
607, 518
607, 518
607, 527
607, 527
607, 527
607, 527
607, 527
607, 527
607, 527
607, 527
607, 527
607, 527
607, 527
607, 527
607, 527
607, 527
607, 527
616, 527
616, 527
616, 527
616, 527
616, 527
616, 527
616, 546
616, 546
616, 546
616, 546
616, 546
616, 546
616, 546
616, 546
616, 546
616, 546
616, 546
616, 546
616, 546
616, 546
633, 546
633, 546
633, 546
633, 546
633, 546
633, 546
633, 578
633, 578
633, 578
633, 578
633, 578
633, 578
633, 578
633, 578
633, 578
633, 578
633, 578
633, 578
633, 578
633, 578
633, 578
633, 578
633, 578
633, 578
633, 578
633, 578
633, 578
633, 578
633, 578
633, 578
633, 578
633, 578
633, 578
633, 578
633, 578
633, 982
633, 982
633, 982
633, 982
633, 982
633, 982
633, 982
633, 978
633, 978
818, 978
818, 978
818, 978
818, 978
804, 823
804, 823
804, 823
804, 823
804, 823
804, 823
804, 823
804, 823
804, 823
804, 823
804, 823
804, 823
804, 823
804, 823
804, 823
804, 823
804, 823
804, 823
804, 114
804, 114
804, 114
1023, 103
1023, 103
1023, 103
1023, 103
1023, 103
1023, 103
1016, 103
1016, 103
1016, 103
1016, 103
1016, 103
1016, 103
977, 103
977, 103
977, 103
977, 112
977, 112
977, 112
1000, 112
1000, 112
1000, 112
1000, 107
1000, 107
1000, 107
978, 107
978, 112
978, 112
978, 112
978, 112
978, 112
978, 112
978, 112
978, 112
978, 112
978, 112
978, 118
978, 118
978, 118
978, 118
978, 118
978, 114
978, 114
978, 114
978, 114
978, 114
978, 114
978, 109
978, 109
978, 109
978, 109
978, 109
978, 113
978, 113
978, 113
978, 113
978, 113
1008, 28
1008, 28
1008, 28
1008, 28
1008, 28
1008, 28
1008, 113
1008, 113
1008, 113
1008, 113
1008, 113
1008, 113
1008, 113
1008, 113
1008, 113
1008, 113
1008, 113
1008, 113
1008, 113
1008, 113
1008, 113
1008, 113
1008, 113
1008, 113
1008, 113
1008, 113
1008, 113
1008, 113
1008, 113
1008, 113
1008, 113
1008, 113
1008, 122
1008, 122
1008, 122
1008, 122
1008, 122
137, 122
137, 122
137, 122
137, 122
137, 122
137, 122
130, 128
130, 128
130, 128
130, 128
130, 128
126, 128
126, 128
126, 128
126, 128
126, 128
126, 128
126, 130
126, 130
126, 130
126, 130
126, 130
122, 130
122, 137
122, 137
122, 143
122, 143
122, 143
122, 143
122, 143
122, 143
122, 143
122, 143
122, 143
122, 158
122, 158
122, 158
122, 158
122, 158
122, 158
122, 158
122, 158
122, 158
122, 158
122, 158
122, 158
122, 158
122, 158
122, 158
122, 158
122, 158
122, 158
122, 158
122, 158
122, 158
126, 158
126, 158
126, 158
126, 158
126, 158
126, 158
126, 158
126, 158
126, 158
126, 158
137, 158
137, 158
137, 158
137, 158
137, 158
137, 158
137, 158
137, 158
145, 158
145, 158
145, 158
145, 158
145, 158
145, 158
145, 158
145, 1030
145, 1030
145, 1030
145, 1030
145, 1030
145, 1030
933, 1030
933, 1030
933, 1030
933, 1030
933, 1030
933, 1030
833, 1030
833, 1030
833, 1030
833, 1030
833, 1030
833, 1030
833, 1030
938, 1030
938, 1030
938, 1030
938, 1030
938, 1030
938, 1030
938, 1030
938, 1030
938, 1030
938, 1030
938, 1030
938, 1030
938, 1030
938, 1030
938, 1030
938, 1030
938, 1030
938, 1030
938, 1030
938, 1030
938, 1030
938, 324
938, 324
938, 324
938, 324
938, 324
938, 326
938, 326
938, 326
938, 326
938, 326
219, 326
219, 326
219, 326
219, 326
219, 326
219, 326
219, 326
219, 326
219, 326
219, 326
219, 326
219, 887
219, 887
219, 887
219, 887
219, 887
219, 887
219, 887
219, 887
219, 887
219, 887
219, 887
219, 887
219, 672
219, 672
219, 672
219, 672
228, 672
228, 672
228, 672
228, 672
228, 672
228, 672
228, 672
228, 672
228, 672
228, 672
228, 672
228, 672
228, 672
228, 672
228, 672
228, 672
228, 672
228, 672
228, 672
228, 672
228, 672
228, 672
228, 672
228, 672
228, 672
228, 672
228, 672
228, 672
228, 672
228, 672
228, 672
228, 672
228, 666
228, 666
228, 666
228, 666
228, 666
228, 666
228, 662
228, 662
228, 662
228, 662
228, 662
228, 662
228, 475
1022, 475
