L, R, motor_r, motor_l
681, 730, 0, 0
681, 326, 0, 0
681, 326, 0, 0
681, 326, -1, 0
681, 326, -1, 0
681, 326, -1, 1
681, 326, -2, 1
681, 326, -3, 1
349, 326, -3, 2
349, 326, -4, 2
349, 326, -5, 3
349, 326, -5, 3
357, 326, -6, 3
357, 326, -7, 4
366, 697, -8, 4
366, 697, -9, 5
366, 697, -9, 5
685, 326, -10, 6
685, 326, -10, 6
685, 326, -11, 6
448, 538, -12, 7
448, 538, -12, 7
448, 538, -13, 7
448, 538, -13, 8
534, 326, -14, 8
534, 326, -15, 8
534, 326, -15, 9
433, 614, -16, 9
433, 614, -17, 10
433, 614, -17, 10
532, 374, -18, 11
532, 374, -19, 11
532, 374, -19, 12
340, 616, -20, 12
340, 616, -21, 12
340, 616, -22, 13
509, 616, -22, 13
509, 616, -23, 14
509, 616, -24, 14
500, 616, -24, 14
500, 616, -25, 15
500, 616, -26, 15
500, 616, -26, 16
672, 599, -27, 16
672, 599, -27, 16
672, 599, -28, 17
490, 326, -29, 17
490, 326, -29, 18
490, 326, -30, 18
326, 326, -31, 19
326, 326, -31, 19
326, 326, -32, 20
326, 326, -33, 20
326, 326, -33, 20
326, 326, -34, 21
326, 326, -35, 21
693, 326, -35, 22
693, 326, -36, 22
693, 326, -36, 22
635, 598, -37, 23
635, 598, -37, 23
635, 598, -38, 24
624, 618, -39, 24
624, 618, -39, 25
624, 618, -40, 25
624, 618, -41, 25
625, 609, -41, 26
625, 609, -42, 26
625, 609, -42, 27
617, 629, -43, 27
617, 629, -44, 28
617, 629, -44, 28
624, 624, -45, 28
624, 624, -45, 29
624, 624, -46, 29
624, 624, -47, 30
626, 617, -47, 30
626, 617, -48, 31
626, 326, -49, 31
609, 326, -49, 32
609, 326, -50, 32
609, 326, -51, 32
437, 439, -51, 33
437, 439, -52, 33
437, 439, -52, 34
424, 702, -53, 34
424, 702, -54, 34
424, 702, -54, 35
424, 464, -55, 35
722, 464, -56, 36
722, 464, -57, 36
404, 680, -57, 37
404, 680, -58, 37
404, 680, -58, 38
718, 680, -59, 38
718, 591, -60, 38
718, 591, -61, 39
561, 326, -61, 39
561, 326, -62, 40
561, 326, -62, 40
561, 326, -63, 40
385, 744, -64, 40
