motorB, motorC, infra, time
1524, -1637, 52, 2175
1528, -1642, 52, 2180
1534, -1648, 54, 2190
1539, -1653, 54, 2195
1545, -1659, 54, 2203
1549, -1665, 54, 2210
1554, -1670, 54, 2216
1559, -1675, 54, 2223
1563, -1681, 54, 2230
1570, -1687, 52, 2238
1574, -1692, 52, 2244
1579, -1697, 52, 2250
1583, -1702, 52, 2256
1588, -1708, 52, 2265
1594, -1714, 52, 2272
1598, -1718, 52, 2278
1604, -1725, 52, 2286
1609, -1730, 51, 2293
1615, -1737, 51, 2301
1618, -1741, 51, 2306
1623, -1746, 51, 2313
1627, -1750, 51, 2319
1631, -1754, 51, 2324
1636, -1760, 51, 2331
1642, -1766, 49, 2340
1646, -1772, 49, 2346
1651, -1777, 49, 2352
1655, -1782, 49, 2358
1660, -1787, 49, 2365
1664, -1791, 49, 2371
1669, -1796, 49, 2377
