L, R, motor_r, motor_l
289, 345, 0, 0
289, 345, 0, 0
289, 349, 0, 0
289, 349, 0, 1
289, 349, -1, 1
281, 345, -1, 1
281, 345, -2, 2
281, 345, -2, 2
281, 345, -3, 3
355, 259, -4, 4
355, 259, -5, 5
355, 259, -6, 5
280, 349, -6, 6
280, 349, -7, 7
280, 349, -8, 8
355, 265, -9, 8
355, 265, -10, 9
355, 265, -11, 10
267, 265, -12, 11
267, 349, -13, 11
267, 349, -13, 12
355, 273, -14, 12
355, 273, -15, 13
355, 273, -16, 13
259, 345, -16, 14
259, 345, -17, 14
259, 345, -18, 15
353, 281, -19, 15
353, 281, -19, 16
353, 281, -20, 16
353, 281, -21, 17
251, 348, -22, 18
251, 348, -22, 18
251, 348, -23, 19
349, 298, -24, 20
349, 298, -25, 20
349, 298, -26, 21
349, 302, -26, 21
349, 302, -27, 22
349, 302, -28, 23
349, 308, -29, 23
349, 308, -30, 24
349, 308, -30, 24
349, 308, -31, 25
349, 326, -32, 25
349, 326, -33, 26
349, 326, -34, 26
349, 326, -34, 27
349, 326, -35, 27
349, 326, -36, 28
349, 321, -36, 28
349, 321, -37, 29
349, 321, -38, 29
349, 321, -39, 30
349, 321, -40, 31
349, 321, -41, 31
349, 328, -42, 32
349, 328, -42, 32
349, 328, -43, 33
353, 334, -44, 33
353, 334, -45, 34
353, 334, -46, 34
357, 329, -47, 35
357, 329, -47, 35
357, 329, -48, 36
357, 338, -49, 36
357, 338, -50, 37
357, 338, -51, 37
353, 347, -52, 38
353, 347, -52, 38
353, 347, -53, 39
353, 347, -54, 39
357, 349, -54, 40
357, 349, -55, 40
357, 349, -56, 41
353, 355, -57, 41
353, 355, -58, 42
353, 355, -58, 42
353, 372, -59, 43
353, 372, -60, 43
353, 372, -61, 44
353, 364, -62, 44
353, 364, -62, 45
353, 364, -63, 45
353, 364, -64, 46
349, 380, -65, 46
349, 380, -66, 47
349, 380, -66, 47
349, 365, -67, 48
349, 365, -68, 49
349, 365, -69, 49
345, 376, -70, 50
345, 376, -70, 50
345, 376, -71, 51
345, 374, -72, 51
345, 374, -73, 52
345, 374, -74, 52
345, 374, -74, 53
347, 380, -75, 53
347, 380, -76, 54
347, 380, -77, 54
337, 376, -78, 55
337, 376, -79, 56
337, 376, -79, 56
338, 382, -80, 57
338, 382, -81, 57
338, 382, -82, 58
334, 383, -82, 58
334, 383, -84, 59
334, 383, -85, 60
336, 389, -86, 60
336, 389, -86, 61
336, 389, -87, 61
336, 384, -88, 62
329, 384, -89, 63
329, 384, -90, 63
330, 391, -90, 64
330, 391, -91, 65
330, 391, -92, 65
326, 393, -93, 66
326, 393, -94, 66
326, 393, -94, 67
321, 399, -95, 67
321, 399, -96, 68
321, 399, -97, 68
321, 399, -98, 69
321, 399, -98, 70
321, 399, -99, 70
321, 399, -100, 71
321, 397, -101, 71
321, 397, -102, 72
321, 397, -102, 73
321, 404, -105, 74
321, 404, -105, 75
321, 399, -106, 75
321, 399, -107, 76
321, 399, -108, 76
326, 406, -109, 77
326, 406, -110, 78
326, 406, -110, 78
326, 412, -111, 79
326, 412, -112, 80
326, 412, -113, 80
321, 412, -114, 81
321, 412, -115, 81
321, 412, -116, 82
321, 411, -117, 82
321, 411, -117, 83
321, 411, -118, 84
321, 420, -119, 84
321, 420, -120, 85
321, 420, -120, 85
321, 428, -121, 86
326, 428, -122, 86
326, 428, -123, 87
326, 427, -124, 88
498, 427, -125, 88
498, 427, -126, 89
498, 427, -126, 89
427, 425, -127, 90
427, 425, -128, 90
380, 702, -129, 91
380, 702, -130, 92
380, 702, -131, 92
380, 408, -132, 93
401, 408, -132, 94
401, 408, -133, 94
401, 408, -134, 95
403, 437, -135, 95
403, 437, -136, 96
403, 437, -137, 97
416, 401, -137, 97
416, 401, -138, 98
416, 401, -139, 98
429, 420, -140, 99
429, 420, -140, 99
429, 420, -141, 100
653, 437, -142, 101
653, 437, -143, 101
653, 437, -143, 102
653, 437, -144, 102
321, 437, -145, 103
