L, R, motor_r, motor_l
370, 490, 0, 0
370, 641, 0, 0
532, 641, 0, 0
532, 641, 0, 0
326, 641, -1, 1
326, 326, -1, 1
326, 326, -2, 1
321, 326, -2, 2
321, 326, -3, 2
321, 326, -4, 3
326, 326, -4, 3
326, 326, -5, 4
326, 326, -6, 4
321, 554, -7, 5
321, 554, -8, 5
321, 554, -8, 6
633, 376, -9, 6
633, 376, -10, 7
633, 376, -10, 7
326, 567, -11, 7
326, 567, -12, 8
326, 567, -12, 9
326, 389, -13, 9
326, 389, -14, 10
326, 389, -15, 10
326, 372, -15, 11
326, 372, -16, 11
326, 372, -17, 12
326, 730, -17, 13
326, 730, -18, 13
326, 730, -19, 13
326, 730, -19, 14
326, 730, -20, 15
326, 730, -20, 15
326, 730, -21, 15
326, 730, -22, 16
326, 730, -22, 16
326, 730, -23, 17
326, 730, -23, 17
326, 730, -24, 17
326, 685, -25, 18
326, 685, -25, 18
326, 685, -26, 19
326, 685, -26, 19
326, 685, -27, 20
326, 644, -28, 20
326, 644, -28, 21
326, 639, -29, 21
326, 639, -30, 22
326, 639, -30, 22
326, 326, -31, 23
326, 326, -32, 23
326, 326, -32, 24
326, 326, -33, 24
439, 326, -34, 25
439, 326, -34, 25
439, 326, -35, 25
582, 326, -35, 26
582, 326, -36, 26
582, 326, -37, 27
698, 326, -37, 27
698, 670, -38, 28
698, 670, -39, 28
698, 670, -39, 29
670, 624, -40, 29
670, 624, -40, 30
670, 624, -41, 30
670, 658, -42, 31
670, 658, -43, 31
670, 658, -43, 32
670, 447, -44, 32
670, 447, -45, 33
670, 447, -45, 33
576, 326, -46, 34
576, 326, -47, 34
576, 326, -47, 35
399, 614, -48, 35
399, 614, -49, 36
399, 614, -50, 37
563, 326, -51, 37
563, 326, -52, 38
563, 446, -52, 38
393, 446, -53, 39
393, 446, -54, 39
393, 446, -54, 40
392, 572, -55, 40
392, 572, -55, 41
392, 572, -56, 41
563, 326, -57, 41
563, 326, -57, 42
563, 326, -58, 42
384, 326, -59, 43
384, 326, -59, 43
384, 326, -60, 44
384, 326, -61, 44
639, 326, -61, 45
639, 326, -62, 45
622, 326, -62, 45
622, 326, -63, 46
630, 622, -65, 47
630, 622, -65, 47
630, 609, -66, 47
630, 609, -66, 48
630, 609, -67, 48
630, 599, -68, 49
630, 599, -68, 49
618, 599, -69, 50
618, 586, -70, 50
622, 586, -70, 51
622, 586, -71, 51
622, 582, -72, 51
622, 582, -72, 52
630, 582, -72, 52
630, 578, -73, 53
630, 578, -74, 53
630, 578, -74, 53
630, 578, -75, 54
630, 578, -76, 54
630, 578, -76, 55
630, 578, -77, 55
630, 582, -78, 56
630, 582, -78, 56
630, 582, -79, 56
504, 578, -80, 57
504, 578, -80, 57
504, 578, -81, 58
504, 573, -82, 58
504, 573, -82, 59
504, 573, -83, 59
515, 576, -84, 60
515, 576, -85, 61
515, 576, -85, 61
534, 573, -86, 61
534, 573, -87, 62
534, 573, -87, 62
554, 573, -88, 63
554, 573, -88, 63
554, 573, -89, 63
536, 580, -90, 64
536, 580, -90, 64
536, 580, -91, 65
500, 580, -92, 65
500, 580, -92, 66
500, 580, -93, 66
500, 582, -94, 67
469, 582, -95, 67
469, 582, -95, 68
455, 578, -96, 69
455, 578, -97, 69
455, 578, -97, 69
633, 536, -98, 70
633, 536, -99, 70
633, 536, -99, 71
617, 536, -100, 71
617, 536, -100, 71
617, 536, -101, 72
617, 536, -102, 72
617, 542, -102, 73
607, 542, -103, 73
607, 542, -104, 74
609, 546, -105, 74
609, 546, -105, 75
609, 546, -106, 75
590, 546, -106, 76
590, 546, -107, 76
590, 546, -108, 77
597, 554, -109, 77
597, 554, -109, 77
597, 554, -110, 78
591, 561, -110, 78
591, 561, -111, 79
591, 561, -112, 79
582, 561, -112, 80
582, 561, -113, 80
582, 567, -114, 81
582, 567, -114, 81
578, 572, -115, 81
578, 572, -116, 82
578, 572, -116, 82
573, 569, -118, 83
573, 569, -118, 83
573, 569, -119, 84
570, 586, -120, 84
570, 586, -120, 85
570, 586, -121, 85
567, 582, -122, 86
567, 582, -122, 86
567, 582, -123, 86
570, 599, -123, 87
570, 599, -124, 87
570, 599, -125, 87
567, 598, -125, 88
567, 598, -126, 88
567, 598, -127, 89
567, 603, -127, 89
567, 603, -128, 90
567, 603, -128, 90
567, 603, -129, 91
567, 603, -130, 91
567, 603, -130, 91
567, 603, -131, 92
567, 603, -132, 92
567, 603, -132, 93
567, 603, -133, 93
567, 603, -134, 93
567, 603, -134, 94
567, 705, -135, 94
567, 705, -136, 94
567, 705, -136, 95
567, 705, -137, 95
567, 705, -138, 96
567, 705, -138, 96
567, 705, -139, 97
567, 705, -140, 97
567, 705, -141, 98
567, 705, -141, 98
567, 705, -142, 98
567, 705, -142, 99
567, 705, -143, 99
567, 705, -144, 100
567, 705, -144, 100
567, 705, -145, 100
567, 705, -146, 101
567, 705, -147, 101
567, 705, -147, 101
567, 705, -148, 102
567, 705, -149, 102
567, 705, -149, 103
567, 705, -150, 103
567, 705, -151, 103
567, 705, -151, 104
567, 705, -152, 104
567, 705, -153, 105
567, 705, -155, 106
567, 705, -156, 107
567, 705, -157, 107
567, 705, -157, 107
567, 705, -158, 107
567, 705, -159, 108
567, 705, -160, 108
567, 705, -160, 109
567, 705, -161, 109
567, 705, -162, 109
567, 705, -162, 110
567, 705, -163, 110
567, 705, -164, 111
567, 705, -164, 111
567, 705, -165, 111
