L, R, motor_r, motor_l
385, 326, 0, 0
385, 326, 0, 0
376, 326, 0, 1
376, 326, -1, 1
376, 326, -1, 1
357, 441, -1, 1
357, 441, -2, 1
357, 441, -2, 2
399, 439, -3, 2
399, 439, -4, 3
399, 439, -4, 3
399, 433, -5, 3
404, 433, -5, 4
404, 433, -6, 4
404, 433, -6, 4
374, 326, -7, 5
374, 326, -8, 5
374, 326, -8, 5
338, 326, -9, 6
338, 326, -9, 6
338, 326, -10, 7
599, 326, -11, 7
599, 326, -11, 7
599, 326, -12, 8
599, 326, -12, 8
599, 326, -13, 9
599, 326, -14, 9
599, 326, -14, 9
599, 326, -15, 10
599, 326, -16, 10
366, 326, -16, 11
366, 326, -17, 11
366, 326, -17, 11
710, 326, -18, 12
710, 326, -19, 12
710, 326, -19, 13
710, 326, -20, 13
490, 326, -20, 13
490, 326, -21, 14
490, 326, -22, 14
645, 633, -22, 15
645, 633, -23, 15
645, 633, -23, 15
734, 633, -24, 16
734, 633, -24, 16
734, 633, -25, 16
734, 633, -26, 17
734, 633, -26, 17
734, 633, -27, 18
734, 633, -27, 18
734, 633, -28, 18
734, 633, -28, 19
734, 633, -29, 19
734, 633, -30, 19
734, 633, -30, 20
734, 633, -30, 20
734, 633, -31, 21
734, 633, -32, 21
734, 633, -32, 21
734, 397, -34, 22
734, 397, -35, 23
734, 397, -35, 23
586, 544, -36, 23
586, 544, -36, 24
586, 544, -37, 24
586, 544, -37, 24
586, 537, -38, 25
586, 537, -39, 25
586, 537, -39, 26
586, 537, -40, 26
586, 537, -40, 26
586, 537, -41, 27
586, 537, -42, 27
586, 537, -42, 27
321, 537, -43, 28
321, 537, -43, 28
321, 537, -44, 28
436, 710, -45, 29
436, 710, -46, 29
436, 385, -46, 30
436, 385, -47, 30
580, 385, -47, 31
574, 385, -48, 31
574, 546, -48, 31
574, 546, -49, 32
561, 554, -50, 32
561, 554, -50, 32
561, 554, -51, 33
561, 551, -51, 33
561, 551, -52, 33
561, 551, -52, 34
561, 551, -53, 34
554, 546, -53, 34
554, 546, -54, 35
554, 546, -55, 35
573, 546, -55, 35
573, 546, -56, 36
573, 546, -56, 36
546, 553, -57, 36
546, 553, -57, 37
546, 553, -58, 37
603, 553, -58, 37
603, 553, -59, 37
603, 553, -60, 38
603, 553, -60, 38
561, 561, -61, 39
561, 561, -61, 39
561, 561, -62, 39
617, 569, -62, 39
617, 569, -63, 40
617, 569, -64, 40
563, 626, -64, 40
563, 626, -65, 41
563, 626, -65, 41
563, 626, -66, 41
595, 326, -66, 42
595, 326, -67, 42
595, 326, -67, 42
357, 614, -68, 43
357, 614, -69, 43
357, 614, -69, 43
517, 689, -70, 44
517, 689, -70, 44
517, 689, -71, 44
572, 481, -72, 45
572, 481, -72, 45
572, 481, -73, 45
572, 481, -73, 46
573, 439, -74, 46
573, 439, -74, 47
573, 439, -75, 47
500, 553, -76, 48
500, 553, -77, 48
500, 546, -78, 49
500, 546, -78, 49
500, 546, -79, 49
553, 601, -80, 50
553, 601, -80, 50
553, 601, -81, 51
553, 601, -82, 51
563, 618, -82, 52
563, 618, -83, 52
563, 618, -84, 52
553, 537, -84, 53
553, 537, -85, 53
553, 537, -86, 54
553, 536, -86, 54
653, 536, -87, 55
653, 536, -88, 55
321, 536, -88, 56
321, 523, -89, 56
321, 523, -90, 57
321, 523, -90, 57
464, 534, -91, 57
464, 534, -92, 58
464, 534, -92, 58
626, 515, -93, 59
626, 515, -94, 59
626, 515, -95, 60
626, 555, -95, 60
617, 555, -96, 61
617, 555, -97, 61
687, 555, -98, 62
687, 517, -98, 62
687, 517, -99, 63
687, 525, -100, 63
687, 525, -100, 64
687, 525, -101, 64
687, 525, -102, 65
687, 532, -103, 65
687, 532, -103, 65
687, 532, -104, 66
687, 532, -105, 67
687, 532, -105, 67
687, 532, -106, 67
687, 532, -107, 68
687, 532, -107, 69
687, 532, -108, 69
687, 532, -109, 69
687, 481, -109, 70
687, 481, -110, 70
687, 481, -111, 71
563, 510, -111, 71
563, 510, -112, 72
563, 510, -113, 73
559, 506, -114, 73
559, 506, -114, 73
559, 506, -115, 74
563, 551, -116, 74
563, 551, -116, 75
563, 551, -117, 75
555, 517, -118, 76
555, 517, -119, 76
551, 518, -120, 78
551, 518, -121, 78
551, 518, -122, 79
551, 527, -122, 79
551, 527, -123, 79
551, 527, -124, 80
551, 527, -124, 81
551, 527, -125, 81
551, 527, -126, 82
590, 527, -127, 82
590, 527, -127, 83
590, 527, -128, 83
590, 527, -129, 84
