L, R, motor_r, motor_l
626, 630, 0, 0
626, 630, 0, 0
626, 630, 0, 0
626, 630, 0, 0
626, 630, -1, 0
626, 630, -1, 1
626, 630, -2, 1
626, 630, -2, 2
626, 630, -3, 2
626, 630, -3, 3
626, 630, -4, 3
626, 630, -5, 4
626, 630, -5, 4
626, 630, -6, 5
626, 630, -7, 6
626, 630, -7, 6
626, 630, -8, 7
626, 630, -9, 7
626, 630, -9, 7
626, 630, -10, 8
626, 630, -10, 8
626, 630, -11, 9
626, 630, -13, 10
626, 630, -13, 10
626, 630, -14, 11
626, 630, -15, 12
626, 630, -16, 12
626, 326, -16, 13
626, 326, -17, 13
626, 326, -17, 14
626, 326, -18, 14
626, 326, -19, 14
626, 326, -19, 15
626, 326, -20, 16
626, 326, -21, 16
626, 1670, -21, 17
626, 1670, -22, 17
626, 1670, -23, 17
626, 1670, -23, 18
626, 1670, -24, 18
626, 1670, -24, 19
626, 1670, -25, 19
626, 1670, -26, 20
626, 1670, -26, 20
626, 1670, -26, 20
626, 1670, -27, 21
626, 1670, -28, 21
626, 1670, -28, 22
626, 1670, -29, 22
626, 1670, -30, 23
626, 321, -30, 23
626, 321, -31, 24
626, 321, -31, 24
668, 326, -32, 25
668, 326, -33, 25
668, 326, -34, 25
617, 326, -34, 26
617, 326, -35, 26
617, 326, -35, 27
439, 632, -36, 27
439, 632, -37, 28
439, 632, -37, 28
593, 326, -38, 28
593, 326, -38, 29
593, 326, -39, 29
593, 326, -40, 30
420, 616, -40, 30
420, 616, -41, 31
420, 616, -42, 31
581, 326, -42, 32
581, 326, -43, 32
581, 326, -43, 32
408, 326, -44, 33
408, 326, -44, 33
408, 326, -46, 34
408, 326, -46, 34
412, 326, -47, 35
412, 326, -47, 35
635, 326, -48, 36
635, 326, -48, 36
635, 326, -49, 36
635, 326, -49, 37
653, 326, -50, 37
653, 326, -51, 38
653, 326, -51, 38
653, 326, -52, 38
653, 326, -52, 39
653, 712, -53, 39
653, 712, -53, 40
653, 712, -54, 40
651, 712, -55, 40
651, 639, -55, 41
641, 639, -56, 41
641, 639, -56, 42
641, 641, -57, 42
641, 641, -58, 42
634, 641, -58, 43
633, 641, -59, 44
633, 641, -60, 44
633, 633, -61, 44
