L, R, motor_r, motor_l
454, 326, 0, 0
454, 326, 0, 0
454, 326, 0, 0
454, 326, 0, 1
454, 326, -1, 1
454, 326, -1, 1
454, 326, -2, 2
454, 326, -2, 2
454, 326, -3, 3
454, 326, -4, 4
454, 326, -5, 4
454, 326, -6, 5
454, 328, -6, 5
454, 328, -7, 6
454, 328, -8, 6
454, 326, -9, 7
454, 326, -9, 7
454, 326, -10, 8
454, 326, -11, 8
454, 326, -11, 9
454, 326, -12, 9
456, 326, -12, 9
456, 326, -13, 10
456, 326, -13, 10
456, 326, -14, 11
456, 326, -15, 11
456, 326, -15, 12
456, 326, -16, 12
447, 411, -17, 13
447, 411, -18, 14
447, 411, -19, 15
447, 418, -20, 15
447, 420, -20, 16
447, 420, -21, 17
447, 420, -22, 17
452, 427, -22, 17
452, 427, -23, 18
452, 427, -24, 18
452, 420, -24, 19
452, 420, -25, 19
452, 420, -26, 20
452, 326, -26, 20
452, 326, -27, 21
452, 326, -28, 21
392, 326, -28, 22
392, 326, -29, 22
392, 326, -30, 23
392, 326, -30, 23
392, 410, -30, 23
392, 410, -31, 24
392, 410, -32, 24
385, 411, -33, 25
385, 411, -33, 25
385, 411, -34, 26
376, 418, -34, 26
376, 418, -35, 27
376, 418, -36, 27
372, 326, -36, 28
372, 326, -37, 28
372, 326, -38, 29
357, 326, -39, 29
357, 326, -39, 29
357, 326, -40, 30
366, 403, -40, 30
366, 403, -41, 31
366, 403, -42, 31
366, 411, -42, 32
361, 411, -44, 33
361, 326, -45, 33
361, 326, -46, 34
361, 326, -46, 34
348, 326, -47, 35
348, 326, -48, 35
340, 321, -48, 36
340, 321, -49, 36
340, 321, -50, 37
340, 321, -51, 37
340, 321, -51, 38
330, 336, -52, 38
330, 336, -53, 39
330, 336, -53, 39
326, 397, -54, 40
326, 397, -54, 40
326, 397, -55, 40
326, 397, -56, 41
326, 397, -56, 41
326, 397, -57, 42
326, 397, -58, 42
326, 397, -58, 43
326, 397, -59, 43
326, 397, -59, 43
326, 357, -60, 44
326, 357, -60, 44
326, 357, -61, 45
326, 361, -62, 45
326, 361, -62, 45
326, 361, -63, 46
321, 433, -63, 46
321, 433, -64, 47
321, 433, -64, 47
321, 433, -65, 47
322, 435, -66, 48
322, 435, -66, 48
322, 435, -67, 48
322, 443, -67, 49
322, 443, -68, 49
322, 443, -68, 50
303, 443, -69, 50
303, 443, -70, 50
303, 443, -70, 51
302, 447, -71, 51
302, 447, -71, 52
302, 447, -72, 52
302, 447, -72, 52
298, 439, -73, 53
298, 439, -74, 53
298, 439, -74, 53
288, 446, -75, 54
288, 446, -75, 54
288, 446, -76, 55
294, 437, -77, 55
294, 437, -77, 55
294, 437, -78, 56
281, 428, -78, 56
281, 428, -79, 57
281, 428, -80, 57
411, 385, -80, 57
411, 385, -81, 58
411, 385, -81, 58
411, 385, -82, 59
411, 385, -83, 59
411, 385, -83, 59
418, 392, -84, 60
418, 392, -85, 60
418, 392, -85, 61
429, 443, -86, 61
429, 443, -86, 61
429, 443, -87, 62
428, 401, -88, 62
428, 401, -89, 63
428, 401, -90, 63
420, 411, -90, 64
420, 411, -91, 64
420, 411, -92, 65
420, 412, -92, 65
439, 412, -93, 66
439, 412, -94, 66
447, 412, -94, 67
447, 412, -95, 67
447, 412, -95, 67
424, 411, -96, 68
424, 411, -97, 68
424, 411, -97, 69
420, 411, -98, 69
420, 411, -98, 70
420, 411, -99, 70
420, 411, -100, 71
498, 411, -101, 71
498, 411, -101, 72
498, 424, -102, 72
326, 424, -103, 73
326, 424, -103, 73
326, 424, -104, 74
416, 424, -105, 74
416, 424, -105, 75
416, 424, -106, 75
411, 428, -107, 76
411, 428, -107, 76
411, 428, -108, 77
326, 420, -109, 77
326, 420, -109, 77
326, 420, -110, 78
326, 420, -111, 79
326, 420, -111, 79
326, 420, -112, 79
321, 433, -113, 80
321, 433, -113, 80
321, 433, -114, 81
321, 425, -115, 81
326, 425, -115, 82
326, 425, -116, 82
326, 425, -117, 83
326, 425, -117, 83
326, 425, -118, 84
326, 425, -119, 84
330, 435, -120, 85
330, 435, -120, 86
404, 435, -121, 86
404, 443, -122, 87
404, 443, -122, 87
404, 439, -123, 88
420, 439, -124, 88
420, 439, -125, 89
420, 433, -125, 89
427, 433, -126, 90
427, 433, -127, 90
427, 433, -127, 91
439, 433, -128, 91
439, 433, -129, 91
439, 433, -129, 92
338, 439, -130, 93
338, 439, -131, 93
338, 439, -131, 93
326, 443, -133, 95
326, 454, -134, 95
