L, R, motor_r, motor_l
321, 321, 0, 0
321, 321, 0, 0
321, 326, 0, 0
321, 326, 0, 1
321, 326, 0, 1
321, 326, -1, 1
321, 326, -1, 2
321, 326, -2, 2
321, 326, -3, 3
321, 326, -3, 4
321, 326, -4, 4
321, 326, -5, 5
321, 326, -6, 5
321, 326, -7, 6
321, 326, -8, 6
308, 326, -9, 7
308, 326, -10, 8
308, 326, -10, 8
303, 321, -11, 8
303, 321, -13, 9
297, 321, -14, 10
297, 321, -14, 10
297, 321, -15, 11
297, 321, -16, 11
294, 326, -16, 12
294, 326, -17, 12
294, 326, -18, 13
290, 326, -19, 13
290, 326, -20, 14
290, 326, -20, 14
286, 321, -21, 15
286, 321, -22, 15
286, 321, -23, 16
326, 213, -24, 16
326, 213, -24, 17
326, 213, -25, 18
273, 329, -26, 18
273, 329, -27, 19
273, 329, -28, 19
273, 219, -28, 20
326, 219, -29, 20
326, 219, -30, 20
326, 219, -31, 21
267, 326, -32, 21
267, 326, -32, 22
267, 326, -33, 22
326, 227, -34, 23
326, 227, -35, 23
326, 227, -35, 24
265, 330, -36, 24
265, 330, -37, 25
265, 330, -38, 25
326, 237, -38, 26
326, 237, -39, 26
326, 237, -40, 27
251, 237, -41, 27
251, 328, -42, 28
251, 328, -43, 28
251, 251, -43, 29
326, 251, -44, 29
326, 251, -45, 30
326, 251, -46, 30
249, 338, -46, 30
249, 338, -47, 31
249, 338, -48, 31
326, 259, -49, 32
326, 259, -50, 32
243, 336, -51, 33
243, 336, -52, 34
243, 336, -52, 34
243, 336, -53, 34
326, 271, -54, 35
326, 271, -55, 35
326, 271, -56, 36
233, 340, -57, 37
233, 340, -58, 37
330, 280, -59, 38
330, 280, -60, 38
330, 280, -60, 39
225, 345, -61, 39
225, 345, -62, 40
225, 345, -63, 40
328, 290, -64, 40
328, 290, -64, 41
328, 290, -65, 41
326, 297, -66, 41
326, 297, -66, 42
326, 297, -67, 42
326, 297, -68, 42
330, 297, -68, 43
330, 297, -69, 43
330, 297, -70, 44
329, 326, -70, 44
329, 326, -71, 45
329, 326, -72, 45
328, 326, -73, 46
328, 326, -73, 46
328, 326, -74, 47
329, 326, -75, 47
329, 326, -76, 47
329, 326, -78, 49
329, 326, -79, 49
329, 326, -79, 50
329, 321, -80, 50
329, 321, -81, 50
329, 321, -81, 51
329, 328, -82, 51
329, 328, -83, 52
329, 328, -84, 52
329, 338, -85, 53
329, 338, -85, 53
329, 338, -86, 54
338, 340, -87, 54
338, 340, -87, 54
338, 340, -88, 55
334, 347, -89, 55
334, 347, -90, 56
334, 347, -90, 56
334, 347, -91, 56
334, 353, -92, 57
338, 353, -93, 57
338, 353, -93, 58
340, 357, -94, 58
340, 357, -95, 59
340, 357, -96, 59
446, 357, -96, 60
446, 357, -97, 60
370, 366, -99, 61
370, 366, -99, 62
370, 366, -100, 62
370, 366, -101, 62
340, 365, -102, 63
340, 365, -103, 63
340, 365, -104, 64
393, 365, -104, 64
393, 365, -105, 65
393, 365, -106, 65
329, 374, -107, 66
329, 374, -107, 66
329, 374, -108, 66
329, 376, -109, 67
329, 376, -110, 67
329, 376, -110, 68
330, 380, -111, 68
330, 380, -112, 69
330, 380, -113, 70
328, 383, -114, 70
328, 383, -115, 71
328, 383, -116, 71
326, 382, -117, 71
326, 382, -118, 72
326, 382, -118, 72
326, 385, -119, 73
326, 385, -120, 73
326, 385, -121, 74
321, 384, -122, 74
321, 384, -122, 75
321, 384, -123, 75
321, 389, -124, 76
321, 389, -125, 76
321, 389, -126, 77
321, 389, -127, 77
321, 393, -128, 78
321, 393, -128, 78
321, 393, -129, 78
326, 404, -130, 79
326, 404, -131, 79
326, 404, -132, 80
326, 401, -133, 80
326, 401, -133, 81
326, 401, -134, 81
326, 401, -135, 82
326, 401, -136, 82
326, 401, -137, 83
321, 401, -138, 83
321, 401, -138, 84
321, 435, -139, 84
321, 435, -140, 85
326, 411, -141, 85
326, 411, -142, 86
326, 411, -143, 86
326, 412, -144, 87
326, 412, -145, 88
384, 544, -146, 88
384, 544, -147, 89
384, 544, -148, 89
376, 347, -149, 90
376, 347, -150, 90
376, 347, -151, 91
389, 380, -152, 91
389, 380, -152, 92
389, 380, -153, 93
469, 420, -154, 93
469, 420, -155, 94
469, 420, -156, 94
469, 420, -156, 94
353, 532, -157, 95
353, 532, -158, 96
353, 532, -159, 96
353, 389, -160, 97
454, 389, -161, 97
454, 389, -162, 98
609, 428, -162, 98
609, 428, -163, 99
609, 428, -164, 100
481, 626, -165, 100
481, 626, -166, 101
481, 626, -167, 101
481, 626, -167, 102
475, 496, -168, 102
475, 496, -169, 103
475, 496, -170, 103
481, 433, -171, 104
481, 433, -172, 105
481, 433, -172, 105
321, 433, -173, 106
321, 429, -174, 106
321, 429, -175, 107
321, 448, -176, 108
321, 448, -177, 108
321, 448, -177, 109
321, 448, -178, 109
321, 614, -179, 110
321, 614, -180, 110
321, 614, -181, 111
428, 443, -182, 112
428, 443, -183, 112
428, 443, -183, 113
437, 439, -184, 113
437, 439, -185, 114
437, 439, -186, 115
428, 616, -187, 115
428, 616, -187, 116
428, 616, -188, 116
599, 435, -189, 117
599, 435, -191, 118
599, 435, -191, 118
416, 595, -194, 120
416, 447, -194, 121
523, 447, -196, 122
523, 447, -196, 122
523, 447, -197, 123
408, 496, -198, 123
408, 496, -199, 124
408, 439, -200, 124
581, 439, -201, 125
581, 439, -201, 126
581, 439, -202, 126
392, 605, -203, 127
392, 605, -204, 127
392, 605, -204, 128
392, 456, -206, 128
554, 456, -206, 129
554, 456, -207, 130
393, 599, -208, 130
393, 599, -209, 131
393, 599, -210, 131
393, 599, -210, 132
563, 321, -211, 133
563, 321, -212, 133
563, 321, -213, 134
374, 326, -214, 134
374, 326, -214, 135
374, 326, -215, 135
370, 326, -216, 136
370, 326, -217, 137
370, 326, -217, 137
376, 326, -218, 138
376, 326, -219, 138
376, 326, -220, 139
376, 326, -221, 140
372, 326, -221, 140
372, 326, -222, 141
372, 326, -223, 141
383, 326, -224, 142
383, 326, -225, 143
383, 326, -225, 143
376, 326, -226, 144
376, 326, -227, 144
376, 326, -228, 145
357, 326, -229, 146
357, 326, -229, 146
357, 326, -230, 147
345, 326, -231, 147
345, 326, -232, 148
345, 326, -232, 149
326, 546, -233, 149
326, 546, -234, 150
326, 546, -235, 151
626, 660, -236, 151
626, 660, -237, 152
626, 660, -238, 152
626, 660, -238, 153
403, 660, -239, 154
403, 660, -240, 154
403, 660, -241, 155
403, 660, -242, 156
403, 660, -242, 156
403, 660, -243, 157
403, 660, -244, 157
403, 660, -245, 158
403, 660, -245, 158
403, 660, -246, 159
