L, R
326, 326
326, 326
326, 326
326, 326
326, 326
326, 411
326, 411
326, 411
326, 411
326, 411
326, 411
322, 326
322, 326
322, 326
322, 326
322, 326
322, 326
298, 326
298, 326
298, 326
298, 326
298, 326
294, 326
294, 326
294, 326
294, 326
294, 326
294, 467
294, 467
294, 467
290, 467
290, 467
290, 467
290, 326
294, 326
294, 326
294, 326
294, 326
294, 326
294, 326
294, 326
294, 326
294, 326
294, 326
294, 326
322, 326
322, 326
322, 326
322, 326
322, 326
322, 326
322, 326
322, 326
322, 326
326, 443
326, 443
326, 443
326, 443
326, 452
326, 452
326, 452
326, 452
326, 452
326, 452
326, 326
326, 326
326, 326
326, 326
326, 326
326, 326
326, 448
326, 448
326, 448
326, 448
326, 448
326, 460
326, 460
326, 460
326, 460
326, 460
326, 460
326, 471
326, 471
326, 471
326, 471
326, 471
326, 471
326, 464
326, 464
326, 464
393, 464
393, 464
393, 464
393, 464
393, 464
393, 464
410, 464
410, 464
410, 464
410, 464
410, 475
410, 475
321, 475
321, 475
321, 475
321, 474
321, 474
321, 474
580, 474
580, 474
580, 474
580, 474
580, 474
326, 474
326, 474
326, 474
326, 474
326, 474
326, 474
326, 474
326, 474
326, 474
326, 474
326, 474
326, 474
326, 474
326, 474
326, 474
326, 474
326, 474
326, 474
326, 474
326, 479
326, 479
326, 479
326, 479
326, 479
326, 479
326, 384
326, 384
326, 384
326, 384
326, 384
326, 384
326, 384
326, 384
326, 384
326, 384
326, 384
326, 384
326, 384
326, 384
204, 384
204, 384
204, 384
204, 384
204, 384
370, 347
370, 347
370, 347
370, 347
370, 347
370, 347
326, 326
326, 326
326, 326
326, 326
326, 326
326, 326
321, 326
321, 326
321, 326
321, 326
321, 326
321, 326
321, 321
321, 321
330, 321
330, 321
330, 321
340, 326
340, 326
340, 326
340, 326
340, 326
340, 326
340, 326
321, 289
321, 289
321, 289
321, 289
321, 289
321, 321
321, 321
321, 321
321, 321
321, 321
321, 321
326, 321
326, 321
326, 304
326, 304
326, 304
326, 304
322, 296
322, 296
322, 296
