L, R, motor_r, motor_l
361, 326, 0, 0
462, 326, 0, 0
462, 326, 0, 0
462, 326, -1, 0
349, 326, -1, 1
349, 326, -1, 1
349, 326, -2, 1
345, 326, -2, 2
345, 326, -3, 2
345, 326, -3, 2
345, 326, -3, 3
329, 326, -4, 3
329, 326, -4, 3
329, 326, -5, 4
329, 326, -5, 4
328, 326, -5, 4
328, 326, -6, 4
328, 326, -6, 5
329, 326, -7, 5
329, 326, -7, 5
329, 326, -8, 6
329, 326, -8, 6
353, 326, -9, 7
353, 326, -9, 7
321, 326, -10, 7
321, 326, -11, 8
321, 326, -11, 8
321, 326, -12, 8
357, 326, -12, 9
321, 326, -14, 10
321, 326, -14, 10
321, 326, -15, 10
321, 326, -15, 11
321, 326, -16, 11
321, 326, -16, 11
321, 326, -17, 12
321, 326, -17, 12
321, 326, -18, 12
321, 326, -19, 13
321, 326, -19, 13
364, 326, -20, 14
364, 326, -20, 14
364, 326, -21, 14
321, 326, -22, 15
321, 326, -22, 15
321, 326, -23, 15
321, 326, -23, 16
326, 326, -24, 16
326, 326, -24, 16
326, 326, -25, 16
326, 326, -25, 17
326, 326, -26, 17
326, 326, -26, 17
326, 326, -27, 18
326, 326, -27, 18
326, 326, -28, 18
326, 326, -29, 19
326, 326, -29, 19
326, 326, -29, 19
326, 326, -30, 20
326, 326, -30, 20
326, 326, -31, 20
833, 326, -32, 21
833, 326, -32, 21
833, 326, -33, 21
833, 326, -33, 22
833, 326, -34, 22
833, 326, -34, 22
833, 509, -35, 22
633, 509, -35, 22
633, 509, -36, 23
633, 509, -37, 23
633, 509, -37, 23
626, 326, -37, 24
626, 326, -38, 24
626, 326, -39, 24
462, 672, -39, 25
462, 672, -40, 25
462, 672, -40, 25
462, 672, -41, 26
462, 326, -41, 26
462, 326, -42, 26
462, 326, -42, 26
462, 326, -43, 27
462, 326, -43, 27
462, 326, -44, 27
462, 326, -45, 28
462, 326, -45, 28
462, 326, -46, 28
462, 326, -46, 28
462, 326, -47, 29
462, 326, -47, 29
835, 326, -48, 29
835, 326, -48, 29
835, 326, -49, 30
835, 817, -49, 30
843, 817, -50, 30
843, 817, -50, 30
843, 817, -51, 31
843, 816, -51, 31
840, 816, -52, 31
840, 816, -52, 32
840, 816, -53, 32
843, 810, -53, 32
843, 810, -54, 32
843, 810, -54, 32
843, 814, -55, 33
840, 814, -55, 33
840, 814, -56, 33
840, 814, -56, 33
840, 814, -57, 34
843, 819, -57, 34
843, 819, -58, 34
843, 819, -58, 34
843, 812, -59, 35
841, 812, -59, 35
841, 812, -60, 35
841, 812, -60, 35
841, 812, -61, 36
834, 814, -61, 36
834, 814, -62, 36
834, 814, -62, 37
834, 810, -63, 37
834, 810, -63, 37
834, 810, -64, 37
834, 810, -65, 38
834, 810, -65, 38
826, 810, -66, 38
826, 810, -66, 38
826, 810, -67, 38
826, 810, -67, 39
826, 810, -68, 39
826, 810, -68, 39
826, 813, -69, 39
826, 813, -69, 40
826, 813, -70, 40
826, 813, -70, 40
826, 813, -71, 40
826, 819, -71, 41
826, 819, -72, 41
826, 819, -72, 41
826, 819, -73, 42
826, 812, -73, 42
823, 812, -74, 42
823, 812, -74, 42
823, 812, -75, 43
823, 812, -75, 43
819, 812, -76, 43
819, 812, -77, 44
819, 812, -77, 44
819, 818, -77, 44
826, 818, -78, 44
826, 818, -79, 45
826, 818, -79, 45
826, 818, -80, 45
