L, R, motor_r, motor_l
917, 326, 0, 0
917, 326, 0, 0
917, 326, -1, 0
917, 326, -1, 1
917, 326, -2, 1
917, 326, -2, 2
917, 326, -3, 3
917, 326, -4, 4
917, 326, -6, 6
917, 326, -7, 7
357, 326, -9, 9
357, 326, -10, 10
357, 326, -11, 11
357, 326, -13, 12
357, 326, -13, 13
357, 326, -14, 13
357, 326, -15, 14
771, 326, -17, 16
771, 326, -18, 16
771, 326, -19, 17
771, 326, -21, 18
771, 326, -21, 19
771, 326, -22, 20
771, 326, -24, 21
330, 326, -25, 21
330, 326, -26, 22
330, 326, -27, 23
321, 326, -29, 24
321, 326, -29, 25
321, 326, -32, 27
321, 326, -34, 28
321, 326, -35, 29
730, 326, -37, 30
730, 326, -37, 31
730, 326, -39, 32
730, 326, -40, 32
730, 326, -41, 34
730, 326, -43, 34
730, 326, -44, 35
721, 326, -45, 36
721, 326, -46, 37
721, 326, -48, 38
721, 326, -49, 39
527, 326, -50, 40
527, 326, -51, 40
527, 326, -52, 41
509, 326, -53, 42
509, 326, -55, 43
509, 326, -55, 44
722, 326, -57, 44
722, 326, -58, 46
734, 326, -61, 47
734, 326, -61, 48
734, 736, -63, 49
734, 736, -64, 50
734, 736, -65, 50
734, 736, -66, 51
734, 730, -67, 52
734, 730, -69, 53
734, 730, -70, 54
734, 726, -71, 55
734, 726, -72, 56
734, 726, -73, 57
744, 730, -75, 57
744, 730, -76, 58
744, 730, -77, 59
744, 730, -79, 60
744, 734, -81, 62
744, 734, -81, 62
744, 734, -83, 63
744, 740, -84, 64
744, 740, -85, 65
744, 740, -87, 66
744, 744, -88, 66
744, 744, -89, 67
744, 744, -90, 68
744, 744, -91, 69
744, 744, -93, 70
744, 744, -94, 71
744, 744, -95, 72
744, 744, -96, 72
744, 744, -97, 73
744, 744, -99, 74
744, 326, -100, 75
744, 326, -101, 76
744, 326, -103, 77
744, 326, -104, 78
744, 326, -105, 79
744, 326, -106, 79
744, 326, -108, 80
744, 326, -109, 81
744, 326, -110, 82
744, 796, -111, 83
744, 796, -113, 84
744, 796, -114, 84
744, 784, -115, 85
744, 784, -116, 86
744, 784, -117, 87
744, 784, -119, 88
758, 784, -121, 89
758, 784, -122, 90
758, 784, -123, 91
913, 784, -124, 92
913, 784, -125, 93
913, 784, -127, 94
913, 779, -129, 96
2550, 779, -131, 97
2550, 779, -132, 98
2550, 802, -133, 99
2550, 802, -135, 99
2055, 802, -136, 100
2055, 933, -137, 101
2055, 933, -139, 102
2055, 933, -140, 103
913, 933, -141, 104
913, 933, -142, 105
913, 2550, -143, 106
913, 2550, -144, 106
818, 2550, -146, 108
818, 842, -148, 109
818, 842, -149, 110
818, 842, -150, 111
894, 842, -152, 112
894, 1215, -153, 113
894, 1215, -155, 114
894, 1215, -156, 115
2550, 1215, -157, 116
2550, 1215, -158, 117
2550, 2458, -160, 118
2550, 2458, -161, 119
1748, 2458, -162, 120
1748, 2458, -164, 122
1748, 1710, -165, 122
1748, 1710, -166, 124
1748, 1710, -168, 124
1730, 1710, -169, 125
