L, R, motor_r, motor_l
595, 326, 0, 0
595, 326, 0, 0
517, 586, 0, 1
517, 586, 0, 1
517, 586, 0, 1
517, 326, -1, 1
527, 326, -2, 2
527, 326, -2, 2
527, 326, -3, 3
364, 326, -3, 3
364, 326, -4, 4
364, 326, -5, 5
357, 326, -6, 5
357, 326, -6, 6
357, 326, -7, 6
340, 487, -8, 7
340, 487, -8, 7
340, 487, -9, 8
511, 330, -10, 8
511, 330, -10, 8
511, 330, -11, 9
321, 538, -12, 9
321, 538, -12, 9
321, 538, -13, 10
321, 538, -13, 10
384, 326, -14, 11
384, 326, -15, 12
383, 321, -16, 12
383, 321, -16, 13
383, 321, -17, 13
519, 546, -18, 14
519, 546, -19, 14
519, 546, -19, 15
519, 321, -20, 15
401, 321, -21, 16
401, 321, -21, 16
384, 321, -22, 16
384, 326, -23, 17
384, 326, -23, 17
384, 326, -24, 17
401, 365, -24, 18
401, 365, -25, 18
401, 365, -26, 19
382, 534, -26, 19
382, 534, -27, 19
382, 534, -28, 20
321, 326, -28, 20
321, 326, -29, 21
329, 326, -30, 22
329, 618, -32, 22
329, 618, -32, 23
573, 598, -33, 23
573, 598, -34, 24
573, 598, -34, 24
559, 397, -35, 24
559, 397, -36, 25
559, 397, -36, 25
581, 517, -37, 26
581, 517, -38, 26
581, 517, -39, 27
590, 517, -40, 27
590, 517, -40, 27
590, 326, -41, 28
532, 326, -42, 28
532, 326, -42, 29
532, 326, -43, 29
380, 546, -44, 29
380, 546, -44, 30
380, 546, -45, 30
574, 523, -45, 31
574, 523, -46, 31
574, 523, -47, 31
582, 523, -48, 32
582, 523, -48, 32
582, 523, -49, 33
582, 326, -49, 33
515, 326, -50, 33
515, 326, -51, 34
515, 326, -51, 34
338, 744, -52, 35
338, 744, -52, 35
338, 744, -53, 35
554, 410, -54, 36
554, 410, -54, 36
554, 410, -55, 37
554, 554, -56, 37
481, 554, -56, 37
481, 554, -57, 38
481, 554, -58, 38
554, 554, -58, 38
554, 554, -59, 39
554, 554, -59, 39
474, 576, -60, 40
474, 576, -61, 40
474, 576, -61, 40
473, 614, -62, 41
473, 614, -62, 41
473, 614, -63, 41
473, 614, -64, 42
483, 635, -66, 43
455, 641, -67, 44
455, 641, -67, 44
455, 641, -68, 44
588, 469, -68, 45
588, 469, -69, 45
588, 469, -70, 46
581, 473, -70, 46
581, 473, -71, 46
581, 473, -72, 47
581, 490, -72, 47
581, 490, -73, 48
581, 490, -74, 48
581, 490, -75, 49
581, 490, -75, 49
581, 490, -76, 49
581, 490, -76, 50
580, 490, -77, 50
580, 490, -78, 51
580, 490, -78, 51
580, 490, -79, 51
580, 490, -80, 52
580, 490, -80, 52
573, 490, -81, 53
573, 490, -82, 53
573, 490, -82, 53
573, 490, -83, 54
574, 490, -84, 55
574, 490, -84, 55
574, 490, -85, 55
581, 597, -86, 56
581, 597, -86, 56
581, 597, -87, 57
581, 326, -88, 57
581, 326, -88, 58
581, 326, -89, 58
580, 355, -90, 59
580, 355, -90, 59
580, 355, -91, 59
580, 355, -92, 60
588, 525, -92, 60
588, 525, -93, 61
588, 525, -94, 61
580, 542, -94, 62
580, 542, -95, 62
580, 542, -95, 62
598, 532, -96, 63
598, 532, -97, 63
598, 532, -97, 64
598, 532, -98, 64
580, 535, -99, 65
580, 535, -99, 65
580, 535, -100, 66
605, 542, -101, 67
605, 542, -102, 67
605, 542, -102, 68
573, 540, -103, 68
573, 540, -104, 69
573, 540, -104, 69
580, 540, -105, 69
580, 540, -106, 70
580, 540, -106, 71
580, 542, -107, 71
580, 542, -108, 71
580, 542, -108, 72
590, 542, -109, 73
590, 542, -110, 73
590, 542, -110, 74
590, 542, -111, 74
603, 553, -112, 75
603, 553, -112, 75
603, 553, -113, 75
599, 546, -114, 76
599, 546, -114, 76
599, 546, -115, 77
607, 555, -116, 77
607, 555, -116, 78
607, 555, -117, 78
607, 555, -117, 79
666, 574, -118, 79
666, 574, -119, 80
666, 574, -119, 80
460, 598, -120, 81
460, 598, -121, 81
460, 598, -121, 82
599, 572, -122, 82
599, 572, -123, 83
599, 572, -123, 83
599, 572, -124, 84
607, 595, -125, 84
607, 595, -125, 85
607, 595, -126, 85
607, 654, -127, 86
617, 654, -127, 86
617, 654, -128, 87
617, 481, -129, 88
617, 481, -130, 88
617, 481, -130, 89
617, 597, -131, 89
617, 597, -132, 90
617, 597, -132, 90
617, 597, -133, 90
617, 622, -134, 91
626, 622, -134, 91
626, 622, -135, 92
626, 609, -135, 92
626, 609, -136, 93
627, 609, -137, 94
627, 607, -138, 94
622, 607, -138, 95
622, 607, -139, 95
622, 626, -140, 96
622, 626, -140, 96
622, 626, -141, 96
622, 626, -141, 97
622, 626, -143, 98
622, 626, -143, 98
622, 609, -144, 99
622, 609, -145, 99
622, 609, -145, 99
574, 609, -146, 100
574, 645, -147, 101
574, 645, -147, 101
574, 586, -148, 101
574, 586, -149, 102
574, 586, -149, 102
574, 586, -150, 103
574, 748, -150, 103
574, 748, -151, 104
574, 748, -152, 104
736, 605, -152, 105
736, 605, -153, 105
736, 605, -154, 105
736, 605, -154, 106
555, 605, -155, 106
555, 605, -156, 107
555, 605, -156, 107
555, 605, -157, 108
555, 605, -159, 109
555, 605, -159, 109
762, 622, -160, 110
762, 622, -161, 110
762, 622, -161, 111
762, 326, -162, 111
762, 326, -163, 112
762, 326, -163, 112
374, 326, -164, 113
374, 429, -165, 113
374, 429, -166, 114
374, 437, -166, 114
374, 437, -167, 115
374, 437, -167, 115
370, 428, -168, 116
370, 428, -169, 116
370, 428, -169, 117
370, 420, -170, 117
370, 420, -171, 118
370, 420, -171, 118
370, 424, -173, 119
370, 424, -173, 120
370, 424, -174, 120
370, 424, -175, 121
370, 424, -175, 121
1603, 424, -176, 122
1603, 424, -176, 122
1603, 424, -177, 123
1603, 424, -178, 123
1603, 424, -178, 124
1603, 424, -179, 124
1603, 424, -180, 125
1603, 424, -180, 125
1603, 424, -181, 126
1603, 424, -181, 126
1603, 424, -182, 127
1603, 751, -183, 127
1603, 751, -183, 128
1656, 751, -184, 128
1656, 751, -184, 129
1656, 751, -185, 129
1656, 751, -186, 129
1656, 321, -186, 130
1656, 321, -187, 131
1656, 321, -188, 131
403, 321, -188, 132
403, 321, -189, 132
403, 321, -190, 133
403, 321, -190, 133
403, 321, -191, 134
403, 321, -192, 134
403, 1701, -192, 135
403, 1701, -193, 135
403, 1701, -193, 136
1281, 1701, -194, 136
1281, 1701, -195, 137
1281, 1701, -195, 137
1281, 2550, -196, 138
1278, 2550, -197, 138
1278, 2550, -197, 139
1278, 2550, -198, 139
1278, 2550, -199, 140
1709, 2550, -199, 140
1709, 2550, -200, 141
1709, 2550, -200, 141
871, 2550, -201, 142
871, 2550, -202, 142
871, 2550, -202, 143
871, 2550, -203, 143
1263, 2550, -204, 144
1263, 2550, -204, 144
1263, 2550, -205, 145
1263, 2550, -206, 145
1282, 2550, -206, 146
1282, 2550, -207, 147
1282, 2550, -208, 147
1024, 2550, -208, 147
1024, 2550, -209, 148
1024, 2550, -210, 149
1024, 2550, -210, 149
1278, 2550, -211, 149
1278, 2550, -211, 150
1278, 2550, -212, 151
1278, 2550, -213, 151
1278, 2550, -213, 151
1278, 2550, -214, 152
1278, 2550, -214, 152
1278, 2550, -215, 153
1278, 2550, -216, 153
1278, 2550, -216, 154
1278, 2550, -217, 154
1278, 2550, -218, 155
1278, 2550, -218, 155
1278, 2550, -219, 156
1278, 2550, -219, 156
1037, 2550, -220, 157
1037, 2550, -221, 157
1037, 2550, -221, 157
1037, 2550, -222, 158
1037, 2550, -222, 158
1037, 2550, -223, 159
1037, 2550, -224, 159
1037, 2550, -224, 160
1037, 2550, -225, 160
1037, 2550, -225, 161
1037, 2550, -226, 161
1037, 2550, -227, 162
1037, 2550, -227, 162
1037, 2550, -228, 162
1037, 2550, -228, 163
1037, 2550, -229, 163
179, 2550, -229, 164
179, 2550, -230, 164
179, 2550, -231, 165
86, 2550, -231, 165
86, 2550, -232, 166
86, 2550, -232, 166
166, 2550, -233, 167
166, 2550, -234, 167
166, 2550, -234, 167
166, 2550, -235, 168
166, 154, -235, 168
166, 154, -236, 169
166, 154, -237, 169
166, 154, -237, 169
166, 154, -238, 170
166, 154, -239, 171
166, 154, -239, 171
164, 154, -240, 172
162, 154, -241, 172
162, 154, -242, 173
162, 154, -242, 173
149, 154, -243, 173
149, 154, -244, 174
149, 154, -244, 174
158, 154, -245, 175
158, 154, -245, 175
154, 143, -247, 176
154, 143, -248, 177
149, 143, -248, 177
149, 143, -249, 178
149, 143, -250, 178
149, 143, -250, 178
149, 143, -251, 179
149, 143, -252, 179
149, 143, -252, 180
149, 143, -253, 180
149, 139, -254, 181
149, 139, -254, 181
149, 139, -255, 181
149, 145, -256, 182
149, 145, -256, 182
149, 145, -257, 183
149, 145, -258, 183
149, 145, -259, 184
149, 145, -259, 184
149, 145, -260, 185
149, 145, -260, 185
149, 145, -261, 186
149, 145, -262, 186
149, 145, -263, 186
149, 145, -263, 187
149, 145, -264, 187
149, 145, -264, 187
149, 145, -265, 188
149, 143, -266, 188
149, 143, -267, 189
149, 143, -267, 189
149, 143, -268, 189
149, 143, -268, 190
149, 143, -269, 190
149, 143, -270, 190
149, 143, -270, 191
149, 143, -271, 191
154, 143, -272, 192
154, 143, -272, 192
154, 143, -273, 193
154, 145, -274, 193
154, 145, -274, 193
154, 145, -275, 194
158, 145, -276, 194
158, 145, -277, 195
162, 149, -277, 195
162, 149, -278, 196
162, 149, -278, 196
162, 149, -279, 196
162, 149, -280, 197
162, 149, -280, 197
162, 147, -281, 197
162, 147, -282, 198
162, 147, -282, 198
162, 147, -283, 199
162, 147, -284, 199
162, 147, -284, 199
158, 147, -285, 200
158, 147, -286, 200
158, 147, -286, 201
158, 149, -287, 201
158, 149, -288, 201
158, 149, -288, 202
149, 149, -289, 202
149, 149, -289, 203
149, 149, -290, 203
149, 149, -291, 203
149, 149, -291, 204
149, 149, -292, 204
147, 149, -293, 204
147, 149, -293, 205
147, 156, -294, 205
147, 156, -295, 206
147, 156, -295, 206
147, 156, -296, 207
147, 156, -296, 207
147, 156, -297, 207
147, 156, -298, 208
147, 156, -299, 209
147, 156, -299, 209
147, 162, -300, 209
147, 162, -300, 210
147, 162, -301, 210
147, 162, -302, 211
149, 162, -303, 211
149, 162, -303, 212
149, 164, -304, 212
149, 164, -304, 212
149, 164, -305, 213
158, 157, -306, 213
158, 157, -306, 214
158, 157, -307, 214
158, 157, -308, 215
162, 157, -308, 215
162, 157, -309, 216
162, 162, -310, 216
166, 162, -311, 217
166, 162, -312, 217
166, 162, -312, 218
166, 162, -313, 218
166, 162, -313, 219
166, 162, -314, 219
166, 162, -315, 219
166, 164, -316, 220
166, 164, -316, 220
166, 164, -317, 221
166, 164, -317, 221
166, 164, -318, 222
166, 164, -319, 222
166, 164, -320, 223
166, 164, -320, 223
166, 164, -321, 223
166, 170, -322, 224
166, 170, -322, 224
166, 170, -323, 225
166, 170, -324, 225
166, 170, -324, 225
166, 170, -325, 226
166, 170, -325, 226
166, 170, -326, 227
166, 170, -326, 227
166, 170, -327, 227
166, 170, -328, 228
166, 170, -329, 228
166, 170, -330, 229
992, 170, -331, 230
992, 170, -332, 231
992, 170, -333, 231
992, 170, -334, 232
992, 170, -334, 232
992, 170, -335, 233
992, 170, -336, 233
992, 326, -337, 234
992, 326, -338, 235
992, 326, -339, 235
992, 205, -340, 236
992, 326, -341, 237
992, 326, -342, 237
992, 326, -343, 238
992, 326, -344, 239
992, 326, -344, 239
992, 326, -345, 240
992, 326, -346, 240
992, 326, -346, 240
992, 326, -349, 242
992, 198, -349, 242
992, 198, -350, 242
992, 198, -351, 243
992, 326, -352, 244
992, 326, -353, 244
992, 195, -354, 245
992, 195, -354, 245
992, 195, -355, 246
992, 195, -356, 246
992, 195, -357, 247
992, 195, -358, 247
992, 195, -358, 248
992, 195, -359, 248
992, 195, -360, 249
992, 195, -361, 249
1099, 1198, -362, 249
1099, 1198, -362, 250
1099, 1198, -363, 250
1099, 1198, -364, 251
1099, 1263, -365, 251
1099, 1263, -366, 252
1099, 1263, -366, 253
1099, 1263, -367, 253
1099, 1263, -368, 253
1099, 326, -368, 254
1099, 326, -370, 255
1099, 326, -370, 255
1099, 326, -372, 256
1099, 326, -372, 256
1099, 328, -373, 257
1099, 328, -374, 257
1099, 328, -375, 257
1099, 328, -376, 258
1099, 328, -377, 258
1099, 328, -377, 259
1099, 1336, -378, 259
1099, 1336, -379, 260
1835, 1336, -380, 260
1835, 992, -380, 261
1835, 992, -382, 261
1835, 992, -382, 262
1042, 984, -383, 262
1042, 984, -384, 263
1046, 984, -385, 263
1046, 988, -386, 264
1046, 988, -386, 264
1225, 988, -387, 265
1225, 1002, -388, 265
1225, 1002, -389, 265
1044, 1002, -390, 266
1044, 1002, -391, 267
1044, 1002, -391, 267
1044, 1002, -392, 267
1044, 1002, -393, 268
235, 1002, -394, 269
235, 1002, -395, 269
235, 776, -397, 270
235, 856, -398, 271
235, 856, -399, 271
235, 856, -400, 272
235, 842, -401, 272
235, 842, -402, 273
2550, 842, -402, 273
2550, 842, -403, 274
2550, 842, -404, 275
2550, 842, -405, 275
2550, 842, -406, 276
329, 842, -407, 276
329, 842, -408, 277
329, 842, -408, 277
329, 842, -409, 278
329, 842, -410, 278
329, 842, -410, 279
329, 842, -412, 279
808, 408, -412, 280
808, 408, -413, 280
808, 408, -414, 281
808, 408, -414, 281
808, 408, -415, 281
808, 408, -416, 282
808, 408, -417, 282
808, 408, -417, 283
808, 408, -419, 284
808, 408, -419, 284
808, 408, -420, 285
808, 618, -422, 286
808, 618, -422, 286
808, 618, -423, 286
808, 618, -424, 287
808, 618, -424, 287
802, 618, -426, 288
802, 618, -426, 288
802, 618, -427, 289
802, 653, -428, 289
802, 653, -428, 290
802, 653, -429, 290
802, 653, -430, 291
802, 653, -431, 291
802, 653, -432, 292
802, 653, -432, 292
802, 653, -433, 293
704, 653, -435, 294
704, 653, -436, 294
704, 653, -437, 295
704, 653, -438, 295
698, 653, -438, 295
698, 653, -439, 296
718, 679, -440, 297
718, 679, -441, 297
718, 679, -443, 298
718, 679, -444, 299
718, 679, -444, 299
718, 679, -445, 300
718, 710, -446, 300
718, 710, -447, 301
679, 710, -448, 301
679, 710, -448, 301
668, 689, -449, 302
668, 689, -450, 303
380, 702, -451, 303
380, 702, -452, 303
380, 702, -452, 304
681, 681, -454, 304
681, 681, -454, 305
681, 681, -455, 305
681, 681, -456, 306
679, 681, -457, 306
679, 681, -457, 307
679, 681, -459, 308
675, 681, -460, 308
675, 681, -461, 309
675, 681, -462, 309
670, 681, -462, 309
670, 681, -463, 310
670, 681, -464, 310
670, 679, -465, 311
668, 679, -466, 312
668, 679, -467, 312
668, 680, -467, 313
668, 680, -468, 313
668, 680, -469, 313
653, 680, -470, 314
653, 680, -471, 315
654, 680, -471, 315
654, 680, -472, 315
654, 680, -473, 316
654, 680, -474, 316
649, 680, -475, 317
649, 680, -475, 317
622, 680, -476, 317
622, 681, -477, 318
622, 681, -478, 318
706, 591, -478, 319
706, 591, -479, 319
706, 591, -480, 320
614, 677, -481, 320
614, 677, -481, 321
614, 677, -482, 321
614, 598, -483, 321
696, 598, -484, 322
605, 598, -485, 322
605, 679, -486, 323
605, 679, -486, 323
689, 609, -487, 324
689, 609, -488, 324
603, 680, -489, 324
603, 680, -490, 325
603, 680, -491, 325
689, 672, -491, 326
689, 672, -492, 326
705, 618, -495, 327
607, 693, -496, 328
607, 693, -497, 329
681, 624, -498, 329
681, 624, -498, 329
681, 624, -499, 330
