motorB, motorC, infra, time
0, 0, 47, 41
2, -3, 47, 64
5, -6, 47, 75
11, -12, 47, 92
14, -14, 47, 98
19, -19, 47, 113
25, -26, 47, 121
34, -34, 47, 138
46, -46, 47, 161
53, -53, 47, 169
61, -61, 47, 185
69, -69, 47, 195
74, -74, 47, 202
81, -81, 49, 217
92, -93, 49, 231
103, -103, 49, 244
108, -108, 49, 251
117, -118, 49, 264
125, -128, 49, 277
140, -141, 49, 296
149, -151, 49, 308
157, -158, 51, 318
165, -168, 51, 331
179, -181, 51, 348
189, -192, 51, 362
197, -199, 52, 371
202, -205, 52, 381
209, -213, 52, 388
220, -225, 52, 404
229, -233, 52, 418
242, -248, 54, 437
255, -263, 54, 451
266, -274, 54, 466
273, -283, 57, 477
282, -292, 57, 495
296, -308, 57, 507
310, -324, 57, 528
320, -335, 57, 541
328, -346, 57, 555
337, -353, 57, 567
348, -366, 57, 580
354, -373, 57, 589
373, -394, 57, 615
379, -400, 54, 623
387, -408, 54, 634
392, -418, 54, 646
402, -426, 54, 657
413, -436, 54, 668
420, -444, 53, 678
430, -454, 53, 692
437, -462, 53, 702
450, -475, 53, 718
458, -485, 46, 731
466, -492, 46, 740
474, -501, 46, 753
485, -512, 46, 767
497, -524, 40, 780
505, -533, 40, 792
513, -542, 40, 802
519, -549, 40, 813
538, -568, 37, 835
545, -576, 37, 847
553, -584, 37, 855
561, -594, 37, 867
571, -604, 36, 879
582, -615, 36, 894
591, -625, 36, 906
597, -634, 36, 917
607, -643, 36, 928
615, -651, 35, 938
623, -660, 35, 950
631, -670, 35, 961
638, -678, 35, 971
645, -686, 41, 982
652, -696, 41, 993
661, -704, 41, 1004
671, -715, 41, 1017
675, -720, 41, 1023
684, -729, 43, 1035
693, -739, 43, 1048
701, -748, 43, 1058
707, -755, 43, 1068
717, -766, 43, 1081
723, -774, 48, 1092
734, -785, 48, 1107
743, -795, 48, 1117
752, -803, 48, 1129
759, -811, 54, 1138
769, -822, 54, 1152
780, -833, 54, 1167
787, -841, 54, 1176
794, -848, 54, 1185
799, -854, 55, 1192
811, -866, 55, 1207
817, -876, 55, 1220
828, -887, 55, 1233
841, -898, 53, 1247
