motorB, motorC, infra, time
0, 0, 60, 25
1, -1, 60, 32
2, -2, 60, 42
6, -6, 61, 64
11, -12, 61, 75
17, -17, 61, 86
20, -21, 61, 94
24, -25, 61, 102
30, -30, 61, 112
35, -35, 61, 121
42, -42, 61, 133
46, -46, 61, 141
50, -50, 61, 147
56, -56, 61, 156
61, -62, 62, 166
69, -69, 62, 177
73, -74, 62, 184
80, -80, 62, 193
85, -86, 62, 202
91, -91, 62, 210
99, -100, 63, 222
104, -106, 63, 230
109, -111, 63, 237
116, -119, 63, 247
121, -124, 63, 254
127, -131, 63, 263
134, -138, 61, 275
140, -145, 61, 282
147, -152, 61, 292
150, -156, 61, 299
156, -163, 61, 305
164, -171, 61, 318
172, -180, 55, 329
179, -187, 55, 339
185, -194, 55, 347
190, -200, 55, 354
196, -206, 55, 362
199, -210, 48, 371
207, -220, 48, 380
216, -228, 48, 393
223, -236, 48, 400
227, -241, 48, 407
235, -249, 48, 417
241, -255, 43, 425
249, -263, 43, 436
260, -282, 43, 459
270, -286, 43, 465
282, -299, 38, 481
291, -309, 38, 494
301, -319, 38, 506
311, -329, 38, 519
318, -337, 37, 529
327, -346, 37, 541
333, -353, 37, 549
338, -358, 37, 555
344, -365, 37, 564
353, -375, 37, 577
359, -380, 37, 584
366, -388, 37, 597
374, -397, 37, 604
380, -403, 37, 612
385, -409, 37, 619
393, -417, 40, 629
401, -426, 40, 640
407, -432, 40, 648
413, -439, 40, 656
420, -446, 40, 666
425, -453, 40, 673
433, -460, 45, 682
441, -469, 45, 693
448, -476, 45, 703
452, -481, 45, 709
461, -490, 45, 720
469, -499, 52, 730
473, -503, 52, 735
479, -510, 52, 745
487, -519, 52, 756
492, -525, 52, 763
499, -532, 52, 772
506, -540, 52, 782
515, -549, 55, 794
520, -555, 55, 801
525, -561, 55, 809
530, -569, 55, 819
537, -574, 55, 825
544, -582, 53, 835
549, -588, 53, 842
559, -599, 53, 856
568, -609, 53, 869
573, -614, 53, 875
580, -622, 53, 885
587, -629, 55, 894
593, -635, 55, 902
601, -644, 55, 914
607, -651, 55, 922
611, -654, 55, 926
619, -663, 53, 937
627, -671, 53, 948
633, -678, 53, 957
639, -685, 53, 965
646, -692, 53, 973
653, -699, 53, 983
660, -707, 52, 992
666, -713, 52, 1000
673, -721, 52, 1010
679, -728, 52, 1019
687, -735, 52, 1028
693, -741, 52, 1036
699, -748, 52, 1043
705, -755, 52, 1055
713, -764, 52, 1063
719, -769, 52, 1071
727, -778, 52, 1081
734, -785, 50, 1090
743, -795, 50, 1107
753, -806, 50, 1116
760, -813, 50, 1125
767, -821, 50, 1135
773, -827, 47, 1143
781, -836, 47, 1153
792, -852, 47, 1173
808, -865, 47, 1190
814, -871, 49, 1197
825, -883, 49, 1212
830, -889, 49, 1219
835, -894, 49, 1226
848, -909, 49, 1244
858, -919, 49, 1261
871, -934, 49, 1275
880, -943, 49, 1289
885, -950, 50, 1295
892, -957, 50, 1305
900, -965, 50, 1315
905, -972, 50, 1323
910, -977, 50, 1330
916, -984, 50, 1339
925, -993, 54, 1350
930, -999, 54, 1357
935, -1004, 54, 1364
939, -1009, 54, 1371
945, -1015, 54, 1378
949, -1020, 54, 1384
955, -1027, 54, 1393
961, -1033, 60, 1400
965, -1037, 60, 1406
970, -1042, 60, 1412
975, -1048, 60, 1420
980, -1053, 60, 1426
985, -1058, 60, 1433
991, -1065, 60, 1440
995, -1069, 60, 1447
1001, -1076, 58, 1454
1006, -1081, 58, 1461
1011, -1086, 58, 1467
1015, -1090, 58, 1472
1020, -1096, 58, 1480
1025, -1102, 58, 1487
1033, -1110, 58, 1497
1041, -1119, 63, 1508
1045, -1123, 63, 1513
1050, -1129, 63, 1520
1055, -1134, 63, 1526
1060, -1139, 63, 1533
1066, -1146, 63, 1541
1071, -1151, 63, 1547
1084, -1165, 64, 1565
1089, -1171, 64, 1572
1095, -1177, 64, 1580
1100, -1182, 64, 1586
1106, -1189, 64, 1595
1112, -1195, 59, 1602
1116, -1200, 59, 1609
1121, -1205, 59, 1615
1126, -1211, 59, 1621
1132, -1217, 59, 1629
1138, -1223, 59, 1637
1144, -1230, 59, 1645
1152, -1239, 52, 1656
1157, -1244, 52, 1664
1162, -1249, 52, 1669
1167, -1254, 52, 1676
1172, -1260, 52, 1683
1178, -1266, 52, 1691
1184, -1273, 52, 1699
1189, -1278, 44, 1706
1194, -1284, 44, 1713
1199, -1289, 44, 1720
1204, -1294, 44, 1726
1209, -1300, 44, 1733
1214, -1306, 44, 1741
1219, -1312, 44, 1749
1224, -1317, 44, 1755
1230, -1323, 40, 1762
1235, -1329, 40, 1769
1239, -1334, 40, 1776
1244, -1339, 40, 1783
1248, -1344, 40, 1789
1254, -1350, 40, 1796
1259, -1356, 40, 1803
1265, -1362, 37, 1811
1269, -1367, 37, 1818
1274, -1373, 37, 1825
1279, -1378, 37, 1831
1284, -1383, 37, 1838
1288, -1387, 37, 1843
1293, -1394, 37, 1851
1299, -1400, 37, 1859
1303, -1405, 37, 1865
1309, -1410, 37, 1872
1313, -1416, 37, 1879
1318, -1421, 37, 1885
1324, -1427, 37, 1893
1330, -1434, 37, 1901
1335, -1438, 37, 1907
1340, -1444, 38, 1914
1345, -1449, 38, 1921
1350, -1455, 38, 1928
1353, -1459, 38, 1933
1359, -1464, 38, 1940
1365, -1471, 38, 1948
1370, -1477, 38, 1955
1375, -1483, 42, 1962
1381, -1488, 42, 1970
1385, -1493, 42, 1976
1391, -1499, 42, 1983
1396, -1505, 42, 1991
1400, -1510, 42, 1996
1406, -1516, 42, 2004
1411, -1521, 42, 2011
1417, -1527, 49, 2018
1422, -1533, 49, 2025
1427, -1538, 49, 2031
1431, -1542, 49, 2036
1435, -1547, 49, 2043
1447, -1559, 49, 2058
1452, -1564, 53, 2064
1457, -1570, 53, 2072
1461, -1574, 53, 2077
1466, -1580, 53, 2084
1473, -1587, 53, 2092
1477, -1592, 53, 2099
1483, -1598, 53, 2106
1488, -1603, 53, 2112
1494, -1609, 54, 2120
1498, -1614, 54, 2127
1503, -1620, 54, 2133
1508, -1624, 54, 2139
1513, -1629, 54, 2146
1519, -1636, 54, 2154
1524, -1642, 54, 2161
1529, -1647, 55, 2169
1534, -1652, 55, 2174
1539, -1658, 55, 2181
1545, -1664, 55, 2189
1549, -1669, 55, 2195
1555, -1676, 55, 2203
1560, -1681, 55, 2210
1565, -1686, 55, 2216
1570, -1692, 54, 2224
1575, -1697, 54, 2230
1579, -1701, 54, 2236
1584, -1707, 54, 2243
1589, -1712, 54, 2250
1594, -1718, 54, 2257
1599, -1723, 54, 2264
1603, -1728, 52, 2270
1608, -1733, 52, 2276
1613, -1739, 52, 2283
1618, -1744, 52, 2291
1623, -1749, 52, 2297
1628, -1755, 52, 2305
1633, -1761, 52, 2311
1638, -1767, 52, 2319
1643, -1772, 53, 2325
1648, -1777, 53, 2332
1653, -1783, 53, 2340
1658, -1788, 53, 2346
1663, -1795, 53, 2354
1669, -1800, 53, 2361
