L, R, motor_r, motor_l
353, 340, 0, 0
353, 340, 0, 0
353, 330, -1, 0
353, 330, -1, 0
353, 330, -1, 1
349, 347, -2, 2
349, 347, -3, 2
347, 338, -4, 3
347, 338, -4, 3
347, 338, -5, 4
347, 338, -5, 5
338, 340, -6, 6
338, 340, -7, 6
338, 340, -7, 7
338, 347, -8, 8
338, 347, -9, 8
338, 347, -9, 9
334, 349, -10, 9
334, 349, -11, 10
326, 321, -13, 11
326, 321, -13, 12
326, 321, -14, 12
321, 349, -16, 13
321, 349, -17, 14
321, 345, -18, 15
321, 345, -18, 15
321, 345, -19, 16
326, 345, -20, 17
326, 345, -21, 17
326, 345, -22, 18
326, 345, -22, 18
324, 347, -23, 19
324, 347, -24, 19
324, 347, -25, 20
303, 349, -26, 21
303, 349, -26, 21
303, 353, -27, 22
303, 353, -28, 22
303, 353, -29, 23
303, 353, -29, 23
302, 345, -30, 24
302, 345, -31, 24
302, 345, -32, 25
302, 348, -33, 25
298, 348, -34, 26
298, 348, -34, 26
296, 357, -35, 27
296, 357, -36, 27
296, 357, -37, 28
290, 355, -38, 28
290, 355, -39, 29
290, 355, -39, 29
289, 357, -40, 30
289, 357, -41, 30
289, 357, -41, 31
289, 357, -42, 31
285, 357, -43, 32
285, 357, -44, 32
285, 357, -45, 33
348, 278, -45, 33
348, 278, -46, 34
348, 278, -47, 34
278, 357, -48, 35
278, 357, -49, 36
278, 357, -49, 36
348, 286, -50, 36
348, 286, -51, 37
348, 286, -52, 37
348, 288, -53, 38
348, 288, -53, 38
348, 288, -55, 39
348, 296, -56, 40
348, 296, -57, 41
348, 296, -57, 41
348, 302, -58, 42
357, 308, -60, 43
357, 308, -61, 44
357, 308, -62, 44
353, 326, -63, 44
353, 326, -63, 45
353, 326, -64, 45
353, 326, -65, 46
353, 321, -66, 47
353, 321, -67, 47
353, 321, -68, 48
353, 321, -69, 48
353, 321, -69, 49
353, 321, -70, 49
353, 326, -71, 50
353, 326, -72, 50
353, 326, -73, 51
353, 334, -74, 51
353, 334, -75, 52
353, 334, -75, 52
353, 340, -76, 52
353, 340, -77, 53
353, 340, -78, 53
355, 340, -79, 54
355, 345, -79, 54
355, 345, -80, 55
355, 345, -81, 55
357, 348, -82, 56
357, 348, -83, 56
357, 348, -84, 57
357, 355, -84, 57
357, 355, -85, 58
357, 355, -86, 58
357, 361, -87, 59
357, 361, -88, 59
357, 361, -88, 60
361, 366, -89, 60
361, 366, -90, 61
361, 366, -91, 61
361, 372, -92, 62
366, 372, -93, 62
366, 372, -93, 63
366, 372, -94, 63
361, 383, -95, 64
361, 383, -96, 64
361, 383, -97, 65
366, 383, -98, 65
366, 383, -98, 66
366, 383, -99, 66
364, 393, -101, 67
364, 393, -102, 68
364, 393, -103, 68
365, 395, -103, 69
365, 395, -104, 69
365, 395, -105, 70
404, 392, -106, 70
404, 392, -107, 71
404, 392, -107, 72
384, 403, -108, 72
384, 403, -109, 73
384, 403, -110, 73
443, 408, -111, 74
443, 408, -111, 74
443, 408, -112, 75
443, 408, -113, 75
616, 416, -114, 76
616, 416, -115, 76
616, 416, -116, 77
372, 420, -117, 77
372, 420, -117, 78
372, 420, -118, 78
376, 416, -119, 79
376, 416, -120, 79
376, 416, -121, 80
456, 439, -121, 80
456, 439, -122, 81
456, 439, -123, 81
431, 433, -124, 82
431, 433, -125, 82
431, 433, -125, 83
431, 425, -126, 83
326, 425, -127, 84
326, 425, -127, 84
326, 425, -128, 85
326, 435, -129, 85
326, 435, -130, 86
326, 435, -131, 86
433, 475, -132, 87
433, 475, -132, 87
433, 475, -133, 88
433, 475, -134, 88
372, 429, -135, 89
372, 429, -136, 89
372, 429, -136, 90
392, 431, -137, 90
392, 431, -138, 91
392, 431, -139, 92
392, 730, -140, 92
392, 730, -140, 92
392, 730, -141, 93
401, 353, -142, 94
401, 353, -143, 94
401, 353, -144, 94
401, 353, -144, 95
401, 357, -145, 96
401, 357, -147, 96
447, 357, -148, 97
447, 357, -148, 97
447, 357, -149, 98
447, 347, -150, 98
447, 347, -151, 99
447, 347, -151, 99
447, 347, -152, 100
447, 439, -153, 100
447, 439, -154, 100
447, 439, -155, 101
464, 452, -155, 102
464, 452, -156, 102
464, 452, -157, 102
321, 452, -158, 103
321, 436, -159, 104
321, 436, -159, 104
321, 436, -160, 104
326, 603, -161, 105
326, 603, -162, 105
326, 603, -162, 106
479, 595, -163, 106
479, 595, -164, 107
479, 595, -165, 107
479, 605, -166, 108
479, 605, -166, 108
479, 605, -167, 109
479, 605, -168, 109
464, 571, -169, 110
464, 571, -170, 110
464, 571, -170, 111
546, 561, -171, 111
546, 561, -172, 112
546, 561, -173, 112
546, 561, -173, 113
511, 554, -174, 113
511, 554, -175, 114
649, 572, -177, 115
649, 572, -178, 115
649, 582, -179, 116
464, 582, -180, 117
464, 582, -181, 117
464, 572, -181, 118
464, 572, -182, 118
464, 572, -183, 118
574, 418, -184, 119
574, 418, -185, 120
574, 418, -185, 120
574, 462, -187, 121
473, 462, -187, 121
473, 462, -188, 122
473, 462, -189, 122
473, 609, -190, 123
447, 609, -191, 124
452, 582, -192, 124
452, 582, -193, 125
452, 582, -193, 125
452, 582, -194, 126
670, 437, -195, 126
670, 437, -196, 127
670, 437, -197, 127
355, 609, -197, 128
355, 609, -198, 128
355, 609, -199, 129
447, 511, -200, 129
447, 511, -201, 130
447, 511, -201, 130
447, 511, -202, 131
603, 460, -203, 131
603, 460, -204, 132
603, 460, -205, 132
523, 603, -205, 133
523, 603, -206, 134
523, 603, -207, 134
446, 475, -208, 134
446, 475, -209, 135
446, 475, -209, 135
446, 475, -210, 136
536, 475, -211, 137
536, 475, -212, 137
536, 475, -213, 138
543, 475, -214, 138
543, 616, -214, 139
543, 616, -215, 139
543, 527, -216, 140
543, 527, -217, 140
543, 527, -218, 141
543, 527, -218, 141
543, 464, -219, 142
543, 464, -220, 142
543, 464, -221, 143
574, 483, -222, 144
574, 483, -222, 144
574, 483, -223, 145
574, 483, -224, 145
561, 483, -225, 146
561, 483, -226, 146
561, 483, -227, 147
561, 483, -227, 147
561, 483, -228, 148
561, 483, -229, 149
561, 483, -230, 149
561, 483, -230, 150
561, 483, -231, 150
561, 483, -232, 150
605, 483, -233, 151
605, 483, -233, 152
605, 483, -234, 152
605, 483, -235, 153
517, 483, -236, 154
517, 483, -237, 154
527, 483, -238, 155
527, 483, -239, 155
