L, R, motor_r, motor_l
705, 654, 0, 0
744, 654, 0, 0
744, 654, 0, 0
744, 654, 0, 0
744, 654, -1, 1
744, 654, -1, 1
744, 654, -1, 1
744, 654, -2, 2
744, 654, -3, 2
744, 654, -3, 3
744, 654, -4, 4
744, 654, -5, 4
744, 654, -5, 5
744, 654, -6, 5
730, 654, -7, 6
730, 654, -8, 7
730, 654, -9, 7
730, 654, -9, 8
730, 654, -10, 9
730, 654, -11, 9
730, 654, -12, 10
742, 654, -12, 10
742, 654, -13, 11
742, 654, -14, 11
729, 654, -14, 11
729, 654, -15, 12
729, 654, -15, 12
744, 654, -16, 13
744, 654, -17, 13
744, 654, -17, 13
744, 654, -18, 14
744, 654, -18, 14
744, 654, -19, 15
744, 654, -20, 15
744, 654, -20, 15
740, 654, -21, 16
740, 654, -22, 16
740, 654, -23, 17
740, 654, -23, 17
740, 654, -24, 17
740, 654, -24, 18
740, 654, -25, 18
1990, 654, -26, 19
1990, 654, -26, 19
1990, 660, -27, 19
1990, 660, -27, 19
1990, 660, -28, 20
1990, 326, -29, 20
1990, 326, -29, 21
690, 326, -31, 21
690, 326, -31, 21
668, 326, -32, 22
668, 326, -33, 22
668, 326, -34, 23
660, 326, -34, 23
660, 326, -35, 23
660, 660, -36, 24
660, 660, -36, 24
662, 660, -37, 25
662, 643, -38, 25
662, 643, -38, 25
662, 643, -39, 25
662, 643, -40, 26
662, 643, -40, 26
662, 643, -41, 26
662, 643, -42, 27
662, 643, -42, 27
662, 643, -43, 27
662, 643, -44, 28
662, 643, -45, 28
710, 515, -45, 28
710, 515, -46, 29
710, 515, -47, 29
609, 326, -47, 29
609, 326, -48, 29
609, 326, -49, 30
435, 439, -49, 30
435, 439, -50, 30
435, 439, -51, 31
435, 446, -51, 31
435, 446, -52, 31
435, 446, -53, 32
435, 448, -53, 32
435, 448, -54, 32
435, 448, -55, 33
435, 326, -55, 33
439, 326, -56, 33
439, 471, -58, 34
439, 471, -59, 34
439, 471, -59, 35
439, 641, -60, 35
439, 641, -61, 35
439, 641, -61, 36
439, 641, -62, 36
439, 645, -63, 36
439, 645, -63, 37
677, 645, -64, 37
677, 643, -65, 37
677, 643, -65, 38
677, 643, -66, 38
677, 639, -67, 39
677, 639, -68, 39
677, 639, -69, 39
677, 744, -69, 40
677, 744, -70, 40
677, 744, -70, 40
681, 744, -71, 41
681, 744, -72, 41
681, 744, -72, 41
681, 744, -73, 42
668, 744, -74, 42
668, 744, -74, 42
668, 744, -75, 43
681, 744, -76, 43
681, 744, -76, 43
681, 641, -77, 44
681, 641, -77, 44
681, 641, -78, 44
681, 666, -79, 44
681, 666, -79, 45
681, 666, -80, 45
681, 666, -80, 45
681, 649, -81, 46
681, 649, -81, 46
681, 649, -82, 46
622, 643, -83, 47
622, 643, -83, 47
622, 643, -84, 47
626, 643, -85, 48
626, 635, -85, 48
626, 635, -86, 48
609, 630, -87, 49
609, 630, -87, 49
609, 630, -88, 49
609, 630, -89, 49
609, 630, -89, 50
609, 630, -90, 50
609, 630, -90, 50
609, 384, -91, 51
609, 384, -91, 51
609, 384, -92, 51
321, 639, -93, 51
321, 639, -93, 52
321, 639, -94, 52
473, 644, -94, 52
473, 644, -95, 53
473, 644, -95, 53
473, 644, -96, 53
622, 635, -97, 53
622, 635, -97, 54
622, 635, -98, 54
618, 643, -99, 54
618, 643, -99, 55
618, 643, -100, 55
618, 570, -101, 55
618, 570, -101, 56
618, 570, -102, 56
618, 570, -102, 56
618, 570, -103, 57
618, 570, -104, 57
618, 570, -104, 57
618, 570, -105, 58
618, 570, -105, 58
618, 570, -106, 58
618, 591, -107, 59
618, 591, -107, 59
618, 591, -108, 59
626, 736, -108, 60
626, 736, -109, 60
626, 736, -110, 60
626, 702, -110, 61
626, 702, -111, 61
626, 702, -111, 61
626, 702, -112, 61
626, 517, -113, 62
626, 517, -113, 62
626, 517, -114, 63
626, 687, -114, 63
626, 687, -115, 63
626, 687, -115, 64
626, 687, -116, 64
626, 626, -117, 64
626, 626, -117, 65
626, 626, -118, 65
609, 728, -119, 65
609, 728, -119, 66
609, 728, -120, 66
609, 728, -121, 67
609, 728, -121, 67
609, 728, -122, 67
609, 728, -123, 67
758, 728, -123, 68
758, 728, -124, 68
758, 728, -125, 69
758, 728, -125, 69
758, 728, -126, 69
758, 728, -126, 70
758, 728, -127, 70
758, 728, -128, 71
758, 728, -128, 71
758, 728, -129, 71
758, 728, -129, 72
758, 728, -130, 72
758, 546, -131, 73
758, 546, -131, 73
758, 546, -132, 73
758, 730, -133, 74
681, 730, -133, 74
681, 730, -134, 75
685, 710, -135, 75
685, 710, -136, 76
685, 710, -136, 76
681, 744, -137, 77
681, 744, -138, 77
681, 744, -138, 78
681, 744, -139, 78
681, 744, -140, 79
681, 744, -140, 79
681, 744, -141, 79
681, 744, -142, 80
681, 773, -142, 80
681, 773, -143, 81
681, 773, -143, 81
681, 773, -144, 82
681, 773, -145, 82
681, 773, -146, 83
681, 582, -147, 84
681, 582, -148, 84
681, 582, -149, 85
681, 582, -149, 85
681, 582, -150, 85
681, 582, -150, 86
681, 582, -151, 86
681, 582, -152, 87
681, 582, -152, 87
681, 582, -153, 88
681, 582, -154, 88
681, 582, -154, 89
681, 582, -155, 89
681, 582, -155, 89
681, 582, -156, 90
681, 582, -157, 90
681, 582, -157, 91
681, 582, -158, 91
681, 714, -159, 92
681, 714, -159, 92
455, 714, -160, 93
455, 714, -160, 93
455, 714, -161, 94
455, 714, -161, 94
455, 714, -162, 95
455, 714, -163, 95
455, 714, -163, 95
455, 714, -164, 96
455, 714, -165, 96
455, 714, -165, 97
455, 714, -166, 97
455, 714, -166, 98
455, 714, -167, 98
455, 714, -168, 99
757, 714, -168, 99
757, 714, -169, 100
757, 714, -170, 100
757, 714, -171, 101
757, 714, -171, 101
757, 714, -172, 102
757, 714, -172, 102
757, 714, -173, 103
416, 714, -174, 103
416, 714, -174, 103
416, 714, -175, 104
416, 714, -175, 104
416, 714, -176, 105
416, 714, -177, 105
416, 714, -177, 105
780, 714, -178, 106
780, 714, -178, 106
780, 968, -179, 107
780, 968, -180, 107
780, 968, -180, 108
2550, 968, -181, 108
2550, 968, -181, 109
2550, 968, -182, 109
2550, 968, -183, 109
2550, 968, -183, 110
2550, 968, -184, 110
2550, 968, -185, 111
2550, 968, -185, 111
2550, 968, -186, 112
2550, 968, -186, 112
2550, 968, -187, 113
2550, 968, -188, 113
2550, 347, -188, 114
2550, 347, -189, 114
2550, 347, -189, 114
2550, 347, -190, 115
2550, 347, -191, 115
2550, 347, -191, 116
2550, 347, -192, 116
2550, 347, -193, 117
2550, 347, -193, 117
2550, 347, -194, 118
2550, 347, -195, 118
