L, R
326, 0
326, 0
326, 0
326, 0
326, 0
326, 0
326, 0
326, 0
326, 0
326, 0
326, 0
326, 0
326, 0
326, 0
326, 0
326, 0
326, 0
326, 0
326, 0
326, 0
326, 0
326, 0
326, 0
326, 0
326, 0
326, 0
326, 0
326, 0
326, 0
326, 0
326, 0
326, 0
326, 0
326, 0
326, 0
326, 0
326, 0
326, 0
326, 0
326, 0
326, 0
326, 0
326, 0
326, 0
326, 0
326, 0
326, 0
326, 0
326, 0
326, 0
326, 0
326, 0
326, 0
326, 0
326, 0
326, 0
326, 0
326, 0
326, 0
326, 0
326, 0
326, 0
326, 0
326, 0
326, 0
326, 0
326, 0
326, 0
326, 0
326, 0
326, 0
326, 0
326, 0
326, 0
326, 0
326, 0
326, 0
326, 0
326, 0
326, 0
326, 0
326, 0
326, 0
326, 0
326, 0
326, 0
326, 0
326, 0
326, 0
326, 0
326, 0
326, 0
326, 0
326, 0
326, 0
326, 0
326, 0
326, 0
326, 0
326, 0
326, 0
326, 0
326, 0
326, 0
326, 0
326, 0
326, 0
326, 0
326, 0
326, 0
326, 0
326, 0
326, 0
326, 0
326, 0
326, 0
326, 0
326, 0
326, 0
326, 0
853, 0
853, 0
853, 0
853, 0
853, 0
853, 0
853, 0
853, 0
853, 0
853, 0
853, 0
853, 0
853, 0
853, 0
853, 0
853, 0
853, 0
853, 0
853, 0
853, 0
853, 0
853, 0
853, 0
853, 0
853, 0
853, 0
853, 0
853, 0
853, 0
853, 0
853, 0
853, 0
853, 0
853, 0
853, 0
853, 0
853, 0
853, 0
853, 0
853, 0
853, 0
853, 0
853, 0
853, 0
853, 0
853, 0
853, 0
853, 0
853, 0
853, 0
853, 0
853, 0
853, 0
853, 0
853, 0
853, 0
853, 0
853, 0
853, 0
853, 0
853, 0
853, 0
853, 0
853, 0
853, 0
853, 0
853, 0
853, 0
853, 0
853, 0
853, 0
853, 0
853, 0
853, 0
853, 0
853, 0
853, 0
853, 0
853, 0
853, 0
853, 0
853, 0
853, 0
853, 0
853, 0
853, 0
853, 0
853, 0
853, 0
853, 0
853, 0
853, 0
853, 0
853, 0
853, 0
853, 0
853, 0
853, 0
853, 0
853, 0
853, 0
853, 0
853, 0
853, 0
853, 0
853, 0
853, 0
853, 0
853, 0
853, 0
853, 0
853, 0
853, 0
853, 0
853, 0
853, 0
853, 0
853, 0
853, 0
853, 0
853, 0
853, 0
853, 0
853, 0
853, 0
853, 0
853, 0
853, 0
853, 0
853, 0
853, 0
853, 0
853, 0
1726, 0
1726, 0
1726, 0
1726, 0
1726, 0
1726, 0
1726, 0
1726, 0
1726, 0
1726, 0
2550, 0
2550, 0
2550, 0
2550, 0
2550, 0
2550, 0
2550, 0
1280, 0
1280, 0
1280, 0
1280, 0
1280, 0
1280, 0
1280, 0
1280, 0
1280, 0
1263, 0
1263, 0
1263, 0
1263, 0
1263, 0
1070, 0
1070, 0
1070, 0
1070, 0
1070, 0
1070, 0
1070, 0
1070, 0
1238, 0
1238, 0
1238, 0
1238, 0
1238, 0
1238, 0
1238, 0
1219, 0
1219, 0
1219, 0
1219, 0
1219, 0
1219, 0
1219, 0
1065, 0
1065, 0
1065, 0
1065, 0
1065, 0
1065, 0
1065, 0
1068, 0
1068, 0
1068, 0
1068, 0
1068, 0
1068, 0
1068, 0
1066, 0
1066, 0
1066, 0
1066, 0
1066, 0
1066, 0
1225, 0
1225, 0
1225, 0
1225, 0
1225, 0
1225, 0
1225, 0
985, 0
985, 0
985, 0
985, 0
985, 0
985, 0
985, 0
985, 0
985, 0
985, 0
985, 0
985, 0
326, 0
326, 0
326, 0
326, 0
326, 0
326, 0
326, 0
326, 0
326, 0
326, 0
326, 0
326, 0
326, 0
326, 0
326, 0
326, 0
326, 0
326, 0
326, 0
326, 0
326, 0
326, 0
326, 0
326, 0
326, 0
326, 0
326, 0
326, 0
326, 0
326, 0
326, 0
326, 0
326, 0
326, 0
326, 0
128, 0
128, 0
128, 0
128, 0
128, 0
128, 0
120, 0
120, 0
120, 0
120, 0
120, 0
120, 0
114, 0
114, 0
114, 0
114, 0
114, 0
114, 0
114, 0
114, 0
114, 0
114, 0
114, 0
114, 0
114, 0
114, 0
114, 0
114, 0
114, 0
112, 0
112, 0
112, 0
112, 0
112, 0
112, 0
112, 0
112, 0
112, 0
112, 0
113, 0
113, 0
113, 0
113, 0
113, 0
113, 0
113, 0
113, 0
113, 0
113, 0
113, 0
113, 0
113, 0
113, 0
113, 0
113, 0
120, 0
120, 0
120, 0
120, 0
120, 0
120, 0
114, 0
114, 0
114, 0
114, 0
114, 0
114, 0
114, 0
114, 0
114, 0
114, 0
114, 0
114, 0
114, 0
114, 0
114, 0
114, 0
114, 0
114, 0
114, 0
114, 0
114, 0
114, 0
118, 0
118, 0
118, 0
118, 0
118, 0
118, 0
118, 0
118, 0
118, 0
118, 0
118, 0
121, 0
121, 0
121, 0
121, 0
121, 0
121, 0
121, 0
121, 0
121, 0
121, 0
121, 0
121, 0
128, 0
128, 0
128, 0
128, 0
128, 0
130, 0
130, 0
130, 0
138, 0
138, 0
138, 0
138, 0
138, 0
147, 0
147, 0
147, 0
147, 0
147, 0
147, 0
147, 0
147, 0
147, 0
147, 0
147, 0
147, 0
147, 0
147, 0
147, 0
147, 0
147, 0
147, 0
147, 0
147, 0
2550, 0
2550, 0
2550, 0
2550, 0
2550, 0
2550, 0
2550, 0
2550, 0
2550, 0
2550, 0
2550, 0
2550, 0
2550, 0
2550, 0
2550, 0
2550, 0
2550, 0
2550, 0
2550, 0
2550, 0
2550, 0
2550, 0
2550, 0
2550, 0
2550, 0
2550, 0
2550, 0
2550, 0
2550, 0
2550, 0
2550, 0
2550, 0
2550, 0
2550, 0
2550, 0
2550, 0
2550, 0
2550, 0
2550, 0
1816, 0
1816, 0
1816, 0
1816, 0
1816, 0
1816, 0
1808, 0
1808, 0
1808, 0
1808, 0
1808, 0
1808, 0
1808, 0
1388, 0
1388, 0
1388, 0
1388, 0
1388, 0
1388, 0
1388, 0
1388, 0
1388, 0
1388, 0
1388, 0
1388, 0
1388, 0
1388, 0
1388, 0
1388, 0
1388, 0
1388, 0
1388, 0
1388, 0
1388, 0
1388, 0
1388, 0
1388, 0
1388, 0
1388, 0
1388, 0
1388, 0
1388, 0
1388, 0
1388, 0
1388, 0
1388, 0
1388, 0
1388, 0
1388, 0
1388, 0
1388, 0
1388, 0
1388, 0
1388, 0
1388, 0
1388, 0
1388, 0
1388, 0
1388, 0
1388, 0
1388, 0
1388, 0
1388, 0
1388, 0
1388, 0
1388, 0
1388, 0
1388, 0
1388, 0
1388, 0
1388, 0
1388, 0
1388, 0
1388, 0
1388, 0
1388, 0
1388, 0
1388, 0
1388, 0
1388, 0
1388, 0
1388, 0
1388, 0
1388, 0
1388, 0
1388, 0
1388, 0
1388, 0
1388, 0
1388, 0
1388, 0
1388, 0
1388, 0
1388, 0
1388, 0
1388, 0
1388, 0
1388, 0
1388, 0
817, 0
817, 0
817, 0
817, 0
817, 0
817, 0
817, 0
833, 0
833, 0
833, 0
833, 0
833, 0
833, 0
833, 0
833, 0
833, 0
833, 0
833, 0
833, 0
833, 0
833, 0
833, 0
833, 0
833, 0
833, 0
833, 0
833, 0
833, 0
833, 0
833, 0
833, 0
833, 0
833, 0
833, 0
833, 0
833, 0
833, 0
833, 0
833, 0
833, 0
833, 0
833, 0
833, 0
833, 0
833, 0
833, 0
833, 0
833, 0
666, 0
666, 0
666, 0
666, 0
666, 0
666, 0
666, 0
662, 0
662, 0
662, 0
662, 0
662, 0
662, 0
649, 0
649, 0
649, 0
649, 0
649, 0
649, 0
641, 0
641, 0
641, 0
641, 0
641, 0
641, 0
641, 0
641, 0
641, 0
641, 0
641, 0
641, 0
641, 0
641, 0
641, 0
641, 0
641, 0
641, 0
641, 0
645, 0
645, 0
645, 0
645, 0
645, 0
645, 0
645, 0
634, 0
634, 0
634, 0
634, 0
630, 0
630, 0
630, 0
630, 0
630, 0
