motorB, motorC, infra, time
0, 0, 60, 31
1, -1, 60, 43
3, -2, 60, 51
5, -4, 60, 62
9, -8, 59, 74
13, -12, 59, 85
18, -16, 59, 97
25, -23, 59, 112
31, -29, 59, 123
35, -33, 65, 132
40, -38, 65, 144
45, -44, 65, 154
51, -58, 67, 178
64, -65, 67, 188
70, -69, 67, 195
78, -79, 67, 211
84, -88, 67, 225
96, -97, 67, 245
108, -110, 67, 261
116, -119, 67, 274
123, -127, 67, 287
130, -134, 67, 294
140, -145, 67, 311
152, -160, 67, 330
160, -167, 55, 341
169, -177, 55, 355
178, -186, 55, 369
182, -191, 55, 375
192, -203, 37, 392
200, -210, 37, 401
206, -217, 37, 412
216, -227, 37, 428
222, -234, 36, 439
244, -259, 36, 469
249, -264, 36, 476
254, -269, 36, 483
262, -278, 27, 496
268, -284, 27, 504
274, -290, 27, 515
284, -302, 27, 528
294, -311, 26, 541
298, -316, 26, 548
306, -324, 26, 559
311, -330, 26, 566
316, -336, 26, 574
325, -345, 27, 588
332, -353, 27, 598
337, -358, 27, 605
343, -364, 27, 613
354, -377, 27, 630
366, -389, 31, 647
375, -399, 31, 661
