L, R, motor_r, motor_l
509, 348, 0, 0
321, 372, 0, 0
321, 372, 0, 0
321, 372, -1, 1
321, 586, -1, 1
321, 586, -1, 1
321, 586, -2, 2
563, 364, -2, 2
563, 364, -2, 2
563, 364, -3, 3
563, 586, -3, 3
563, 586, -4, 4
563, 586, -4, 4
563, 609, -5, 4
563, 609, -5, 5
563, 609, -6, 5
563, 603, -7, 6
563, 603, -8, 7
563, 595, -8, 7
563, 595, -9, 8
563, 595, -10, 8
563, 595, -10, 9
563, 595, -11, 9
563, 595, -12, 10
563, 590, -12, 10
563, 590, -13, 10
563, 590, -13, 11
563, 456, -14, 11
563, 456, -15, 12
563, 456, -15, 12
416, 326, -16, 13
416, 326, -16, 13
416, 326, -17, 14
412, 580, -18, 14
412, 580, -18, 14
412, 580, -19, 15
412, 326, -19, 15
412, 326, -20, 16
551, 326, -21, 16
551, 326, -21, 17
374, 580, -22, 17
374, 580, -23, 18
374, 326, -23, 18
532, 326, -24, 19
532, 326, -24, 19
532, 326, -25, 20
353, 599, -26, 20
353, 599, -26, 21
353, 599, -27, 21
536, 326, -28, 22
536, 326, -28, 22
536, 326, -29, 23
348, 454, -30, 23
348, 454, -30, 24
348, 454, -31, 24
334, 630, -31, 25
334, 630, -32, 25
334, 630, -33, 26
334, 630, -33, 26
491, 498, -34, 26
491, 498, -35, 27
491, 498, -35, 27
491, 572, -36, 28
491, 572, -36, 28
491, 572, -37, 29
553, 326, -38, 29
553, 326, -38, 30
553, 326, -39, 30
384, 321, -40, 32
384, 321, -41, 32
384, 321, -41, 32
357, 483, -42, 33
357, 483, -43, 33
357, 483, -43, 34
504, 603, -44, 34
504, 603, -44, 35
504, 603, -45, 35
500, 616, -46, 36
500, 616, -46, 36
500, 616, -47, 37
498, 569, -48, 38
498, 569, -49, 38
500, 574, -50, 39
500, 574, -50, 39
500, 574, -51, 40
523, 518, -52, 40
523, 518, -52, 40
523, 518, -53, 41
523, 576, -54, 41
525, 576, -54, 42
525, 576, -55, 42
525, 576, -55, 43
534, 630, -56, 43
534, 630, -57, 44
534, 630, -57, 44
481, 553, -58, 45
481, 553, -58, 45
481, 553, -59, 45
481, 553, -60, 46
509, 666, -60, 46
509, 666, -61, 47
509, 666, -62, 47
509, 411, -62, 48
515, 411, -63, 48
515, 411, -63, 48
509, 411, -64, 49
509, 702, -65, 49
509, 702, -65, 50
519, 567, -66, 50
519, 567, -66, 50
519, 567, -67, 51
519, 567, -68, 51
519, 574, -68, 52
519, 574, -69, 52
519, 574, -70, 53
506, 582, -70, 53
506, 582, -71, 53
506, 582, -71, 54
523, 582, -72, 54
523, 582, -72, 55
523, 582, -74, 55
616, 559, -74, 56
616, 559, -75, 56
616, 559, -75, 56
598, 563, -76, 57
598, 563, -77, 57
598, 563, -77, 58
617, 614, -78, 58
617, 614, -78, 58
617, 614, -79, 59
617, 614, -80, 59
519, 617, -80, 60
519, 617, -81, 60
519, 582, -82, 61
519, 582, -83, 61
519, 582, -83, 62
519, 582, -84, 62
590, 561, -85, 62
590, 561, -85, 63
590, 561, -86, 63
597, 561, -87, 64
597, 561, -87, 64
597, 561, -88, 64
609, 595, -88, 65
609, 595, -89, 65
609, 595, -90, 66
609, 595, -90, 66
618, 590, -91, 67
618, 590, -92, 67
618, 590, -92, 68
641, 744, -93, 68
641, 744, -94, 68
641, 744, -94, 69
624, 605, -95, 69
624, 605, -96, 70
624, 605, -96, 70
624, 597, -97, 71
624, 597, -98, 71
624, 597, -98, 72
624, 597, -99, 72
588, 582, -99, 73
588, 582, -100, 73
588, 582, -101, 74
625, 609, -102, 74
625, 609, -102, 75
625, 609, -103, 75
625, 609, -103, 76
625, 609, -104, 76
625, 609, -105, 76
625, 609, -105, 77
625, 609, -106, 78
625, 609, -107, 78
625, 609, -107, 78
625, 609, -108, 79
704, 609, -109, 80
704, 609, -110, 80
704, 609, -111, 81
704, 609, -111, 81
704, 662, -112, 82
704, 662, -113, 82
704, 662, -113, 82
704, 653, -114, 83
704, 653, -115, 84
704, 653, -115, 84
704, 653, -116, 84
704, 681, -117, 85
609, 681, -118, 86
609, 681, -118, 86
609, 651, -119, 87
597, 651, -120, 87
597, 651, -121, 88
597, 651, -121, 88
599, 651, -122, 89
599, 651, -123, 89
599, 651, -123, 90
599, 651, -124, 90
563, 651, -125, 91
563, 651, -125, 91
563, 651, -126, 92
609, 651, -127, 92
609, 651, -127, 93
609, 651, -128, 93
609, 651, -129, 94
609, 651, -130, 94
609, 651, -130, 95
609, 651, -131, 95
609, 651, -131, 96
609, 651, -132, 96
609, 651, -133, 97
609, 651, -133, 97
609, 651, -134, 98
609, 651, -135, 98
609, 651, -135, 98
609, 651, -136, 99
609, 651, -136, 99
609, 2550, -137, 100
609, 2550, -139, 101
609, 2550, -140, 101
609, 2550, -140, 101
609, 2550, -141, 102
609, 2550, -141, 102
609, 2550, -142, 103
609, 2550, -143, 103
609, 2550, -143, 104
609, 2550, -144, 104
609, 2550, -145, 105
609, 2550, -146, 105
609, 2550, -147, 106
609, 2550, -147, 106
609, 2550, -148, 107
609, 2550, -148, 107
609, 2550, -149, 107
609, 2550, -150, 108
609, 2550, -150, 108
609, 2550, -151, 109
609, 2550, -152, 109
609, 2550, -152, 110
609, 2550, -153, 110
609, 2550, -154, 110
609, 2550, -154, 111
609, 2550, -155, 111
609, 2550, -156, 112
609, 2550, -156, 112
609, 2550, -157, 113
609, 2550, -158, 113
609, 2550, -158, 114
609, 2550, -159, 114
609, 2550, -160, 114
609, 2550, -160, 115
609, 2550, -161, 115
609, 2550, -162, 116
353, 2550, -162, 116
353, 1529, -163, 117
353, 1529, -164, 117
353, 1529, -164, 117
353, 878, -165, 118
353, 878, -166, 118
353, 878, -166, 119
