motorB, motorC, infra, time
0, 0, 62, 21
1, -1, 62, 34
2, -2, 62, 42
4, -4, 62, 48
6, -7, 62, 58
9, -9, 62, 65
12, -12, 62, 73
16, -16, 62, 81
20, -21, 62, 94
26, -27, 62, 103
30, -32, 62, 111
36, -37, 64, 121
41, -43, 64, 131
46, -48, 64, 140
52, -54, 64, 149
57, -59, 64, 158
62, -64, 64, 165
69, -71, 64, 176
76, -78, 62, 187
81, -84, 62, 194
88, -91, 62, 204
93, -96, 62, 212
99, -103, 62, 221
106, -109, 62, 231
114, -117, 62, 242
118, -122, 62, 248
125, -129, 62, 257
130, -135, 62, 265
137, -141, 62, 277
148, -152, 59, 290
156, -161, 59, 300
162, -168, 59, 310
167, -173, 59, 316
176, -182, 50, 327
186, -192, 50, 341
190, -196, 50, 346
195, -202, 50, 353
212, -220, 50, 376
223, -232, 45, 391
228, -237, 45, 398
237, -247, 45, 410
243, -254, 45, 420
248, -259, 42, 426
254, -266, 42, 434
262, -277, 42, 447
272, -285, 42, 460
278, -292, 42, 467
285, -299, 42, 477
294, -310, 40, 489
300, -316, 40, 497
307, -325, 40, 507
314, -332, 40, 516
319, -338, 40, 524
325, -345, 41, 532
334, -355, 41, 544
340, -361, 41, 553
346, -367, 41, 560
353, -375, 41, 570
359, -383, 43, 580
366, -391, 43, 590
372, -397, 43, 597
380, -405, 43, 608
394, -421, 43, 627
399, -427, 47, 635
405, -433, 47, 646
413, -441, 47, 653
421, -450, 47, 664
428, -458, 47, 675
436, -466, 50, 685
441, -473, 50, 692
450, -482, 50, 704
457, -489, 50, 713
463, -495, 50, 721
468, -501, 50, 728
479, -512, 54, 743
489, -523, 54, 756
495, -530, 54, 765
502, -537, 54, 774
509, -545, 54, 784
516, -552, 52, 793
523, -561, 52, 804
531, -568, 52, 812
537, -575, 52, 820
545, -583, 52, 831
551, -589, 53, 840
560, -599, 53, 850
565, -605, 53, 858
572, -612, 53, 867
577, -621, 53, 878
586, -627, 53, 886
591, -633, 53, 893
599, -641, 53, 903
605, -648, 53, 912
615, -659, 53, 925
620, -664, 53, 932
625, -671, 51, 940
634, -679, 51, 951
640, -687, 51, 960
647, -695, 51, 970
652, -700, 51, 976
660, -709, 51, 987
667, -716, 50, 996
673, -723, 50, 1005
682, -734, 50, 1018
695, -748, 50, 1038
702, -755, 49, 1045
708, -762, 49, 1053
721, -777, 49, 1073
726, -783, 49, 1080
733, -790, 49, 1090
738, -796, 47, 1097
745, -803, 47, 1106
751, -810, 47, 1113
756, -816, 47, 1121
763, -823, 47, 1130
771, -832, 47, 1142
779, -840, 46, 1152
784, -847, 46, 1160
789, -852, 46, 1166
801, -864, 46, 1186
814, -878, 48, 1200
822, -887, 48, 1211
827, -892, 48, 1217
832, -897, 48, 1226
848, -914, 48, 1245
854, -924, 50, 1257
864, -932, 50, 1267
870, -939, 50, 1275
876, -945, 50, 1283
882, -952, 50, 1291
887, -957, 52, 1299
895, -966, 52, 1309
901, -971, 52, 1317
907, -978, 52, 1324
912, -984, 52, 1331
922, -994, 52, 1344
928, -1001, 58, 1352
977, -1054, 61, 1418
982, -1060, 61, 1425
986, -1065, 61, 1431
991, -1070, 61, 1437
996, -1076, 61, 1445
1002, -1082, 61, 1451
1006, -1087, 63, 1459
1012, -1094, 63, 1466
1018, -1100, 63, 1474
1023, -1106, 63, 1482
1028, -1111, 63, 1488
1032, -1116, 63, 1494
1037, -1122, 63, 1501
1042, -1128, 64, 1508
1048, -1134, 64, 1516
1053, -1140, 64, 1523
1058, -1145, 64, 1530
1066, -1154, 64, 1541
1070, -1160, 64, 1548
1074, -1164, 64, 1554
1080, -1170, 59, 1562
1086, -1177, 59, 1570
1091, -1183, 59, 1577
1097, -1189, 59, 1584
1102, -1194, 59, 1591
1106, -1199, 59, 1598
1111, -1205, 59, 1605
1118, -1212, 52, 1614
1123, -1218, 52, 1621
1128, -1223, 52, 1627
1132, -1227, 52, 1633
1137, -1233, 52, 1641
1150, -1247, 52, 1657
1156, -1254, 45, 1666
1162, -1260, 45, 1673
1167, -1266, 45, 1681
1173, -1272, 45, 1688
1178, -1277, 45, 1695
1183, -1283, 45, 1703
1188, -1288, 45, 1710
1194, -1294, 42, 1717
1200, -1301, 42, 1724
1206, -1308, 42, 1734
1210, -1312, 42, 1740
1216, -1319, 42, 1747
1221, -1324, 42, 1754
1227, -1331, 39, 1762
1233, -1338, 39, 1770
1238, -1343, 39, 1777
1244, -1348, 39, 1784
1249, -1355, 39, 1791
1254, -1360, 39, 1797
1259, -1365, 39, 1804
1264, -1370, 39, 1810
1269, -1376, 40, 1818
1275, -1382, 40, 1826
1280, -1389, 40, 1833
1286, -1395, 40, 1840
1291, -1400, 40, 1847
1296, -1406, 40, 1854
1302, -1411, 40, 1862
1308, -1419, 44, 1871
1313, -1424, 44, 1877
1318, -1430, 44, 1884
1324, -1436, 44, 1891
1328, -1441, 44, 1898
1333, -1445, 44, 1904
1338, -1451, 44, 1911
1344, -1458, 47, 1920
1350, -1464, 47, 1927
1355, -1469, 47, 1934
1364, -1480, 47, 1946
1369, -1485, 47, 1954
1375, -1492, 47, 1962
1381, -1499, 52, 1970
1386, -1504, 52, 1977
1391, -1510, 52, 1984
1396, -1515, 52, 1991
1400, -1520, 52, 1997
1405, -1525, 52, 2004
1410, -1531, 52, 2011
1415, -1536, 52, 2017
1420, -1542, 53, 2025
1426, -1548, 53, 2033
1430, -1554, 53, 2040
1435, -1559, 53, 2046
1440, -1564, 53, 2053
1446, -1570, 53, 2060
1451, -1576, 53, 2067
1457, -1582, 53, 2076
1462, -1588, 55, 2083
1467, -1594, 55, 2090
1472, -1600, 55, 2097
1477, -1605, 55, 2104
1482, -1610, 55, 2110
1487, -1615, 55, 2117
1493, -1622, 51, 2125
1498, -1628, 51, 2133
1503, -1633, 51, 2140
1508, -1638, 51, 2146
1513, -1644, 51, 2153
1519, -1650, 51, 2161
1524, -1655, 51, 2168
1530, -1662, 51, 2176
1535, -1668, 54, 2183
1540, -1674, 54, 2190
1546, -1679, 54, 2197
1551, -1685, 54, 2205
1556, -1690, 54, 2211
1560, -1695, 54, 2217
1567, -1702, 51, 2225
1572, -1708, 51, 2233
1578, -1714, 51, 2240
1582, -1719, 51, 2247
1588, -1724, 51, 2254
1593, -1730, 51, 2261
1598, -1735, 51, 2268
1604, -1742, 51, 2276
1610, -1748, 50, 2283
1616, -1754, 50, 2291
1620, -1760, 50, 2297
1625, -1765, 50, 2304
1630, -1770, 50, 2310
1635, -1775, 50, 2317
1641, -1782, 50, 2326
1647, -1788, 49, 2333
1656, -1798, 49, 2345
1661, -1803, 49, 2352
1666, -1810, 49, 2360
1672, -1815, 49, 2366
1677, -1821, 49, 2374
1683, -1828, 46, 2382
1689, -1834, 46, 2390
1694, -1839, 46, 2396
1699, -1845, 46, 2403
1704, -1851, 46, 2411
1709, -1856, 46, 2417
1714, -1862, 46, 2424
1721, -1869, 47, 2433
1725, -1874, 47, 2440
1730, -1879, 47, 2446
1736, -1885, 47, 2454
1741, -1891, 47, 2461
1746, -1897, 47, 2468
1751, -1902, 47, 2475
1757, -1909, 48, 2483
1762, -1915, 48, 2491
1767, -1920, 48, 2497
1772, -1926, 48, 2504
1777, -1931, 48, 2512
1781, -1936, 48, 2517
1786, -1942, 48, 2524
1792, -1948, 51, 2533
1797, -1954, 51, 2540
1802, -1959, 51, 2546
1807, -1965, 51, 2554
1812, -1971, 51, 2561
1817, -1976, 51, 2567
1822, -1982, 51, 2575
1829, -1989, 52, 2583
1834, -1995, 52, 2591
1839, -2000, 52, 2597
1843, -2005, 52, 2604
1849, -2011, 52, 2611
1854, -2017, 52, 2619
1859, -2022, 52, 2625
1865, -2029, 52, 2633
1870, -2035, 56, 2641
1875, -2040, 56, 2647
1880, -2046, 56, 2655
