motorB, motorC, infra, time
0, 0, 63, 27
1, -2, 63, 42
3, -3, 63, 53
7, -8, 62, 67
9, -11, 62, 75
12, -15, 62, 85
18, -20, 62, 96
22, -26, 64, 107
28, -32, 64, 119
32, -36, 64, 127
37, -41, 64, 136
43, -48, 64, 148
50, -55, 64, 159
68, -74, 64, 189
73, -80, 64, 199
81, -88, 63, 210
90, -98, 63, 224
97, -105, 63, 233
101, -110, 63, 239
111, -120, 63, 254
117, -126, 62, 262
124, -134, 62, 272
133, -144, 62, 286
138, -149, 62, 293
148, -160, 62, 307
158, -170, 56, 320
169, -183, 56, 336
178, -193, 56, 350
190, -204, 48, 363
198, -213, 48, 374
203, -218, 48, 383
211, -227, 48, 392
217, -233, 48, 401
225, -243, 44, 413
234, -250, 44, 422
239, -256, 44, 430
249, -266, 44, 442
257, -275, 44, 453
263, -281, 44, 461
269, -288, 41, 470
277, -295, 41, 479
284, -304, 41, 490
292, -311, 41, 499
300, -320, 41, 513
318, -340, 42, 535
326, -348, 42, 546
336, -359, 42, 559
351, -375, 41, 580
359, -383, 41, 590
370, -396, 41, 606
377, -403, 41, 615
382, -409, 46, 623
392, -420, 46, 636
400, -429, 46, 648
409, -439, 46, 660
416, -447, 50, 670
421, -453, 50, 678
429, -461, 50, 688
438, -471, 50, 700
444, -479, 50, 709
450, -485, 50, 717
459, -494, 53, 730
466, -503, 53, 739
474, -510, 53, 749
482, -519, 53, 760
490, -527, 53, 770
497, -535, 53, 780
506, -545, 53, 792
511, -551, 53, 799
518, -559, 53, 810
528, -569, 53, 822
534, -576, 53, 831
542, -583, 53, 840
548, -590, 53, 849
557, -600, 53, 862
565, -608, 53, 872
574, -617, 52, 883
579, -623, 52, 891
586, -630, 52, 899
597, -642, 52, 914
602, -648, 52, 922
608, -654, 53, 929
619, -665, 53, 944
625, -671, 53, 952
631, -677, 53, 959
636, -683, 53, 966
647, -694, 51, 980
654, -702, 51, 990
664, -713, 51, 1004
673, -722, 51, 1016
680, -730, 51, 1025
686, -737, 48, 1034
698, -749, 48, 1049
702, -754, 48, 1056
709, -761, 48, 1065
719, -771, 48, 1078
726, -779, 48, 1088
731, -785, 48, 1096
737, -791, 48, 1105
744, -799, 48, 1113
752, -810, 48, 1125
759, -817, 46, 1134
778, -837, 46, 1160
787, -847, 46, 1173
793, -855, 47, 1182
802, -865, 47, 1194
811, -875, 47, 1209
819, -884, 47, 1219
825, -890, 47, 1226
832, -899, 49, 1237
839, -905, 49, 1245
844, -911, 49, 1252
850, -917, 49, 1260
857, -925, 49, 1270
862, -931, 49, 1277
872, -941, 52, 1290
877, -947, 52, 1297
884, -954, 52, 1306
890, -961, 52, 1315
899, -971, 52, 1327
907, -979, 55, 1337
920, -992, 55, 1354
925, -1005, 55, 1369
938, -1012, 55, 1379
946, -1021, 58, 1389
964, -1039, 58, 1415
971, -1047, 58, 1422
980, -1057, 58, 1435
988, -1065, 64, 1447
995, -1072, 64, 1454
1001, -1078, 64, 1462
1007, -1085, 64, 1470
1016, -1095, 64, 1483
1023, -1102, 63, 1492
1028, -1108, 63, 1499
1037, -1118, 63, 1512
1043, -1124, 63, 1519
1049, -1131, 63, 1528
1056, -1138, 63, 1537
1070, -1154, 62, 1557
1076, -1160, 62, 1564
1081, -1166, 62, 1572
1088, -1173, 62, 1581
1095, -1182, 62, 1591
1099, -1186, 58, 1597
1105, -1193, 58, 1606
1113, -1202, 58, 1617
1118, -1208, 58, 1624
1124, -1215, 58, 1632
1130, -1221, 58, 1640
1136, -1228, 50, 1649
1141, -1234, 50, 1657
1146, -1240, 50, 1664
1152, -1247, 50, 1672
1160, -1255, 50, 1683
1165, -1261, 50, 1690
1170, -1266, 45, 1697
1177, -1274, 45, 1706
1182, -1280, 45, 1714
1188, -1286, 45, 1722
1194, -1293, 45, 1730
1201, -1301, 45, 1739
1206, -1306, 41, 1747
1213, -1314, 41, 1756
1218, -1320, 41, 1763
1225, -1326, 41, 1772
1231, -1333, 41, 1781
1236, -1339, 41, 1788
1248, -1351, 40, 1803
1252, -1356, 40, 1809
1257, -1361, 40, 1816
1262, -1367, 40, 1823
1268, -1373, 40, 1830
1274, -1379, 40, 1839
1279, -1385, 40, 1845
1284, -1390, 40, 1852
1290, -1396, 41, 1860
1294, -1401, 41, 1866
1300, -1406, 41, 1873
1305, -1413, 41, 1881
1311, -1419, 41, 1889
1316, -1424, 41, 1895
1321, -1430, 46, 1902
1327, -1436, 46, 1910
1332, -1441, 46, 1916
1337, -1446, 46, 1923
1341, -1451, 46, 1929
1347, -1457, 46, 1936
1352, -1463, 46, 1943
1358, -1468, 46, 1950
1362, -1473, 46, 1957
1368, -1479, 50, 1964
1372, -1484, 50, 1971
1377, -1490, 50, 1978
1381, -1494, 50, 1983
1387, -1500, 50, 1991
1392, -1506, 50, 1998
1397, -1511, 53, 2005
1403, -1517, 53, 2012
1408, -1523, 53, 2019
1412, -1528, 53, 2025
1417, -1533, 53, 2032
1424, -1540, 53, 2040
1428, -1546, 53, 2048
1433, -1551, 53, 2054
1438, -1557, 55, 2062
1442, -1561, 55, 2067
1448, -1567, 55, 2074
1452, -1573, 55, 2081
1459, -1579, 55, 2089
1463, -1584, 55, 2096
1468, -1590, 55, 2102
1473, -1596, 52, 2110
1478, -1601, 52, 2116
1482, -1606, 52, 2123
1487, -1611, 52, 2129
1491, -1617, 52, 2137
1497, -1623, 52, 2144
1502, -1629, 52, 2152
1507, -1634, 54, 2159
1512, -1639, 54, 2165
1517, -1645, 54, 2172
1522, -1651, 54, 2180
1527, -1656, 54, 2186
1533, -1662, 54, 2194
1541, -1672, 54, 2206
1546, -1677, 52, 2213
1551, -1683, 52, 2220
1556, -1688, 52, 2226
1561, -1693, 52, 2233
1567, -1701, 52, 2242
1573, -1706, 52, 2249
1577, -1711, 52, 2255
1582, -1717, 51, 2263
1586, -1722, 51, 2269
1592, -1727, 51, 2276
1597, -1733, 51, 2283
1603, -1739, 51, 2290
1608, -1744, 51, 2297
1613, -1749, 51, 2304
1618, -1755, 48, 2311
1623, -1760, 48, 2317
1628, -1765, 48, 2324
1633, -1771, 48, 2331
1638, -1776, 48, 2339
1644, -1783, 48, 2346
1650, -1789, 48, 2353
1655, -1794, 48, 2360
1659, -1799, 48, 2366
1665, -1804, 48, 2373
1670, -1810, 48, 2380
1675, -1815, 48, 2386
1681, -1821, 48, 2394
1686, -1827, 48, 2402
1691, -1833, 48, 2409
1696, -1838, 46, 2416
1702, -1843, 46, 2423
1706, -1849, 46, 2429
1712, -1854, 46, 2436
1717, -1860, 46, 2443
1723, -1866, 46, 2451
1728, -1871, 46, 2457
1733, -1877, 46, 2464
1739, -1883, 47, 2472
1743, -1889, 47, 2479
1748, -1894, 47, 2485
1753, -1900, 47, 2493
1760, -1906, 47, 2501
1764, -1912, 47, 2507
1769, -1917, 47, 2513
1775, -1923, 49, 2521
1779, -1927, 49, 2526
1784, -1933, 49, 2534
1789, -1939, 49, 2541
1795, -1946, 49, 2550
1800, -1951, 49, 2556
1805, -1956, 49, 2563
1810, -1962, 52, 2570
1815, -1967, 52, 2577
1828, -1982, 52, 2596
1837, -1993, 52, 2609
1842, -1998, 52, 2615
