L, R, motor_r, motor_l
321, 326, 0, 0
321, 326, 0, 0
321, 326, 0, 0
321, 326, 0, 1
321, 326, -1, 1
321, 326, -1, 1
321, 326, -1, 2
321, 326, -2, 2
321, 1474, -2, 3
321, 1474, -3, 3
321, 1474, -3, 4
321, 1474, -4, 4
321, 1474, -4, 5
321, 1474, -5, 6
321, 1474, -5, 7
321, 1474, -6, 7
321, 1474, -6, 8
321, 1474, -7, 8
321, 1474, -7, 9
321, 1474, -8, 10
321, 326, -8, 10
321, 326, -9, 10
321, 326, -9, 11
321, 326, -10, 11
321, 326, -10, 12
321, 326, -11, 12
321, 326, -12, 13
321, 326, -12, 13
447, 326, -13, 13
447, 326, -13, 14
447, 326, -14, 14
447, 326, -14, 15
447, 326, -15, 15
447, 326, -16, 15
447, 326, -17, 16
447, 326, -18, 17
321, 326, -19, 18
321, 326, -20, 18
550, 326, -21, 19
550, 326, -21, 19
550, 326, -22, 20
321, 740, -23, 20
321, 740, -24, 21
321, 740, -24, 21
321, 740, -24, 21
563, 399, -25, 22
563, 399, -26, 22
483, 321, -27, 23
483, 321, -27, 23
483, 321, -28, 23
483, 321, -28, 24
553, 515, -29, 24
553, 515, -30, 25
553, 515, -30, 25
559, 506, -31, 26
559, 506, -32, 26
559, 506, -32, 26
551, 519, -33, 27
551, 519, -33, 27
551, 519, -34, 28
551, 519, -35, 28
546, 519, -35, 28
546, 519, -36, 29
546, 519, -36, 29
537, 519, -37, 30
537, 519, -38, 30
537, 519, -38, 31
537, 519, -39, 31
537, 496, -41, 32
537, 496, -41, 32
537, 496, -42, 33
537, 411, -43, 33
537, 411, -43, 34
537, 488, -44, 34
525, 488, -45, 35
525, 488, -45, 35
525, 488, -46, 36
527, 479, -47, 36
527, 479, -47, 36
527, 479, -48, 37
534, 479, -48, 37
534, 479, -49, 38
534, 479, -50, 38
534, 483, -51, 39
534, 483, -51, 39
534, 483, -52, 40
534, 488, -53, 40
534, 488, -53, 41
534, 488, -54, 41
534, 490, -54, 41
534, 490, -55, 42
534, 490, -56, 42
534, 490, -56, 43
534, 490, -57, 43
534, 490, -58, 43
534, 490, -58, 44
534, 498, -59, 44
534, 498, -59, 45
532, 498, -60, 45
532, 546, -61, 46
532, 546, -62, 46
519, 546, -62, 47
519, 553, -63, 47
519, 553, -64, 48
511, 553, -64, 48
511, 590, -65, 48
511, 590, -65, 49
511, 590, -66, 49
506, 591, -67, 50
506, 591, -67, 50
506, 591, -68, 50
504, 511, -68, 51
504, 511, -69, 51
504, 511, -70, 52
500, 511, -70, 52
500, 498, -71, 53
500, 498, -71, 53
500, 498, -72, 53
500, 491, -73, 54
500, 491, -73, 54
500, 491, -74, 54
498, 491, -74, 55
498, 490, -75, 56
498, 490, -76, 56
498, 490, -76, 56
498, 481, -77, 57
498, 481, -78, 57
498, 481, -78, 58
498, 474, -79, 58
498, 474, -79, 59
498, 474, -80, 59
498, 474, -80, 59
498, 473, -81, 60
498, 473, -82, 60
496, 473, -82, 61
496, 473, -83, 61
496, 473, -83, 61
496, 473, -84, 62
496, 474, -85, 62
496, 474, -86, 63
496, 474, -86, 63
496, 474, -87, 64
496, 474, -88, 64
496, 474, -88, 65
496, 479, -89, 65
496, 479, -89, 66
496, 479, -90, 66
496, 479, -91, 66
496, 479, -91, 67
491, 479, -92, 67
491, 479, -92, 68
491, 479, -93, 68
491, 479, -94, 68
498, 479, -94, 69
498, 479, -95, 69
498, 479, -96, 70
500, 479, -96, 70
500, 481, -97, 71
500, 481, -98, 71
500, 481, -98, 71
500, 481, -99, 72
500, 481, -100, 72
500, 481, -100, 73
500, 376, -101, 73
500, 376, -101, 74
500, 376, -102, 74
425, 481, -103, 75
425, 481, -104, 75
425, 481, -105, 76
517, 392, -105, 76
517, 392, -106, 77
517, 392, -107, 77
410, 481, -107, 78
410, 481, -108, 78
410, 481, -109, 79
503, 401, -110, 79
503, 401, -110, 80
503, 401, -111, 80
403, 488, -112, 80
403, 488, -112, 81
403, 488, -113, 81
498, 404, -114, 82
498, 404, -114, 82
498, 404, -115, 82
498, 404, -115, 83
401, 487, -116, 83
401, 487, -117, 84
401, 487, -118, 84
491, 412, -118, 85
491, 412, -119, 85
392, 491, -120, 86
392, 491, -121, 87
392, 491, -122, 87
492, 418, -122, 88
492, 418, -123, 88
492, 418, -123, 88
492, 418, -124, 89
385, 500, -125, 89
385, 500, -126, 90
385, 500, -126, 90
385, 429, -127, 91
492, 429, -128, 91
492, 429, -128, 92
370, 500, -130, 93
492, 439, -131, 93
492, 439, -132, 94
492, 439, -132, 94
492, 439, -133, 95
357, 500, -134, 95
357, 500, -134, 96
357, 500, -135, 96
487, 448, -137, 97
348, 500, -138, 98
348, 500, -138, 98
348, 500, -139, 99
487, 462, -140, 100
487, 462, -141, 100
487, 509, -142, 101
340, 509, -142, 101
340, 509, -143, 102
488, 473, -144, 102
488, 473, -145, 103
488, 473, -146, 104
483, 479, -147, 104
483, 479, -148, 105
488, 488, -149, 106
488, 488, -150, 106
488, 488, -150, 106
488, 492, -151, 107
488, 492, -152, 108
488, 492, -152, 108
504, 496, -153, 109
504, 496, -154, 109
504, 496, -155, 109
483, 509, -155, 110
483, 509, -156, 111
483, 509, -157, 111
506, 509, -158, 112
506, 509, -159, 112
506, 509, -160, 113
506, 509, -161, 114
506, 509, -162, 114
506, 509, -162, 114
506, 509, -163, 115
506, 509, -164, 115
506, 509, -164, 116
506, 509, -165, 116
506, 509, -166, 117
506, 509, -166, 117
506, 509, -167, 118
506, 509, -168, 118
506, 509, -168, 118
506, 509, -169, 119
506, 509, -170, 119
