L, R, motor_r, motor_l
326, 353, 0, 0
326, 353, 0, 0
326, 353, 0, 0
326, 353, 0, 0
326, 353, -1, 1
326, 353, -1, 1
326, 353, -2, 2
326, 353, -2, 2
326, 353, -3, 3
326, 353, -3, 3
326, 353, -4, 4
326, 353, -4, 5
326, 353, -5, 5
326, 353, -6, 6
326, 353, -6, 7
326, 353, -7, 8
326, 353, -8, 8
326, 353, -8, 9
326, 353, -9, 9
326, 353, -9, 10
326, 353, -10, 11
326, 353, -10, 11
326, 353, -11, 12
326, 353, -12, 12
326, 353, -12, 13
326, 353, -13, 13
326, 353, -14, 14
326, 326, -15, 15
326, 326, -16, 15
326, 326, -16, 15
326, 326, -17, 16
326, 326, -17, 17
326, 326, -18, 17
326, 326, -19, 18
326, 326, -19, 18
326, 326, -20, 18
326, 326, -21, 19
326, 326, -21, 19
326, 324, -22, 20
326, 324, -22, 20
326, 324, -23, 21
326, 326, -24, 21
326, 326, -24, 22
326, 326, -25, 22
397, 730, -25, 23
397, 730, -26, 23
397, 730, -27, 23
397, 730, -27, 24
365, 730, -28, 24
365, 730, -28, 25
365, 730, -29, 25
698, 730, -30, 26
698, 730, -31, 26
698, 730, -31, 27
698, 730, -32, 27
698, 730, -32, 27
698, 730, -33, 28
698, 730, -34, 28
698, 730, -34, 29
698, 730, -35, 29
698, 730, -36, 29
698, 730, -36, 30
698, 730, -37, 30
698, 730, -38, 31
698, 730, -38, 31
698, 730, -39, 32
698, 730, -40, 32
698, 730, -40, 33
698, 730, -41, 33
698, 730, -42, 34
698, 730, -42, 34
698, 730, -43, 35
698, 730, -44, 35
698, 730, -44, 35
698, 730, -45, 36
698, 730, -46, 36
698, 730, -46, 37
698, 2550, -47, 37
653, 2550, -48, 38
653, 2550, -49, 38
639, 2550, -50, 39
639, 2550, -50, 39
639, 2550, -51, 39
634, 2550, -52, 40
634, 2550, -52, 40
634, 2550, -53, 41
634, 2550, -54, 41
328, 2550, -54, 42
328, 2550, -55, 42
357, 559, -56, 43
357, 559, -56, 43
357, 559, -57, 43
357, 559, -58, 44
517, 744, -59, 44
517, 744, -59, 45
517, 744, -60, 45
679, 661, -60, 45
679, 661, -61, 46
679, 661, -62, 46
679, 598, -63, 47
685, 598, -63, 47
685, 598, -64, 48
496, 649, -66, 49
496, 649, -67, 49
639, 645, -67, 49
639, 645, -68, 50
639, 645, -69, 50
639, 609, -69, 51
639, 609, -70, 51
639, 609, -71, 52
639, 380, -71, 52
639, 380, -72, 53
639, 380, -73, 53
326, 582, -74, 54
326, 582, -74, 54
326, 582, -75, 54
464, 582, -76, 55
464, 582, -76, 55
464, 582, -77, 56
464, 582, -77, 56
464, 582, -78, 56
464, 582, -79, 57
464, 582, -79, 57
464, 433, -80, 58
464, 433, -81, 58
443, 433, -82, 59
443, 433, -82, 59
443, 661, -83, 59
443, 630, -84, 60
443, 630, -84, 61
443, 630, -85, 61
443, 614, -86, 61
443, 614, -87, 62
443, 614, -87, 62
641, 597, -88, 63
641, 597, -89, 63
641, 597, -90, 63
609, 590, -90, 64
609, 590, -91, 64
609, 590, -91, 65
609, 598, -92, 65
609, 598, -92, 66
609, 598, -93, 66
609, 595, -94, 67
609, 595, -94, 67
609, 595, -95, 67
609, 595, -95, 68
618, 603, -96, 68
618, 603, -97, 69
618, 603, -98, 69
618, 599, -98, 70
618, 599, -99, 70
618, 599, -100, 71
618, 597, -101, 71
618, 597, -101, 72
618, 597, -102, 72
618, 598, -103, 73
618, 598, -104, 73
618, 598, -104, 74
618, 605, -105, 74
618, 605, -106, 75
618, 605, -106, 75
618, 605, -107, 76
618, 605, -108, 76
618, 605, -108, 77
2550, 607, -109, 77
2550, 607, -110, 77
2550, 607, -111, 78
2550, 607, -111, 78
2550, 607, -112, 79
2550, 607, -113, 79
2550, 607, -113, 80
2550, 607, -114, 80
2550, 607, -115, 81
2550, 607, -115, 81
2550, 607, -116, 82
2550, 607, -117, 82
2550, 622, -118, 83
2550, 622, -118, 83
2550, 614, -120, 84
2550, 614, -120, 85
2550, 614, -121, 85
2550, 605, -122, 86
2550, 605, -122, 86
2550, 605, -123, 87
515, 624, -124, 87
515, 624, -124, 88
515, 624, -125, 88
515, 616, -126, 89
515, 616, -127, 89
515, 616, -127, 90
515, 617, -128, 90
515, 617, -128, 91
515, 617, -129, 91
515, 617, -130, 92
2370, 626, -131, 93
2370, 626, -132, 93
2370, 622, -132, 93
2370, 622, -133, 94
2370, 622, -134, 94
492, 630, -134, 95
492, 630, -135, 96
492, 630, -136, 96
492, 630, -136, 96
487, 634, -137, 97
487, 634, -138, 97
487, 634, -138, 98
483, 689, -139, 98
483, 689, -140, 99
483, 689, -140, 99
626, 553, -141, 100
626, 553, -142, 100
