L, R, motor_r, motor_l
348, 345, 0, 0
348, 345, 0, 0
348, 345, -1, 0
348, 345, -1, 1
348, 345, -1, 1
348, 345, -2, 1
348, 340, -2, 2
348, 340, -4, 3
348, 340, -4, 4
348, 345, -5, 4
348, 345, -6, 5
348, 345, -6, 6
348, 347, -7, 7
348, 347, -8, 8
348, 347, -9, 8
348, 347, -9, 9
348, 347, -10, 9
348, 347, -11, 10
348, 345, -11, 10
348, 345, -12, 11
348, 345, -13, 12
348, 349, -14, 12
348, 349, -15, 13
348, 349, -15, 13
348, 349, -16, 14
348, 349, -17, 14
349, 349, -18, 15
349, 349, -19, 15
349, 349, -20, 16
348, 349, -21, 17
348, 349, -21, 17
348, 348, -22, 18
353, 348, -23, 18
353, 348, -23, 19
353, 348, -24, 19
349, 348, -25, 20
349, 348, -26, 20
349, 353, -27, 21
349, 353, -27, 22
349, 353, -28, 22
349, 353, -29, 23
349, 353, -30, 23
349, 353, -31, 23
349, 353, -32, 24
349, 355, -33, 25
349, 355, -33, 25
349, 355, -34, 26
349, 357, -35, 26
349, 357, -36, 27
349, 357, -37, 28
349, 357, -37, 28
349, 357, -38, 29
349, 357, -39, 29
349, 357, -40, 30
349, 357, -41, 30
349, 357, -41, 31
349, 357, -43, 31
349, 357, -43, 32
353, 362, -44, 32
353, 364, -45, 33
353, 364, -46, 33
353, 364, -47, 34
353, 364, -48, 35
355, 364, -49, 36
355, 364, -50, 36
355, 366, -50, 37
355, 366, -51, 37
355, 366, -52, 38
355, 370, -53, 38
355, 370, -54, 39
355, 370, -55, 40
355, 372, -56, 40
355, 372, -57, 41
355, 372, -57, 41
355, 370, -58, 42
355, 370, -59, 43
355, 370, -60, 43
355, 370, -61, 44
355, 370, -62, 44
355, 370, -62, 45
355, 376, -63, 45
355, 376, -64, 46
355, 376, -65, 46
355, 376, -66, 47
355, 376, -67, 48
355, 376, -68, 48
355, 376, -68, 49
355, 376, -69, 49
357, 376, -70, 50
357, 376, -71, 50
357, 376, -72, 51
361, 376, -73, 52
361, 376, -74, 52
361, 385, -75, 53
361, 385, -75, 53
361, 385, -76, 54
357, 385, -77, 55
357, 384, -78, 55
357, 384, -79, 56
357, 389, -80, 56
357, 389, -81, 57
364, 389, -81, 58
364, 389, -82, 58
364, 389, -83, 59
364, 389, -84, 59
364, 391, -85, 60
364, 391, -86, 61
365, 391, -87, 61
365, 391, -88, 62
365, 393, -88, 62
364, 393, -89, 63
364, 393, -90, 64
364, 397, -91, 64
365, 397, -92, 65
365, 397, -93, 66
365, 399, -94, 66
370, 399, -95, 67
370, 403, -96, 68
370, 403, -97, 68
370, 403, -97, 69
370, 403, -98, 69
370, 408, -99, 70
374, 408, -100, 70
374, 408, -101, 71
374, 412, -102, 72
376, 411, -104, 73
376, 411, -105, 74
376, 411, -106, 75
