motorB, motorC, infra, gyro, time
0, 0, 68, 0, 26
0, -1, 68, 0, 37
2, -2, 68, 0, 47
8, -8, 68, 0, 68
14, -14, 67, 1, 84
22, -22, 67, 2, 102
30, -30, 67, 4, 118
37, -37, 68, 6, 132
46, -46, 68, 9, 147
54, -55, 68, 11, 161
64, -66, 68, 14, 177
75, -76, 67, 18, 194
82, -84, 67, 21, 207
94, -98, 67, 24, 224
120, -124, 67, 34, 261
130, -135, 67, 38, 277
146, -153, 64, 43, 298
153, -161, 64, 45, 308
165, -173, 64, 50, 324
176, -185, 52, 55, 344
190, -200, 52, 60, 360
211, -222, 52, 67, 388
220, -233, 44, 71, 402
231, -245, 44, 76, 417
245, -259, 44, 81, 435
260, -274, 43, 87, 455
273, -288, 43, 92, 473
281, -298, 43, 95, 484
292, -311, 39, 100, 501
303, -321, 39, 103, 514
313, -335, 39, 108, 532
326, -348, 40, 113, 547
337, -360, 40, 117, 563
348, -373, 40, 120, 578
358, -389, 46, 126, 598
372, -400, 46, 130, 616
386, -416, 46, 135, 632
394, -426, 51, 139, 645
404, -437, 51, 143, 659
415, -449, 51, 147, 674
425, -461, 51, 151, 689
435, -472, 56, 156, 707
447, -486, 56, 160, 721
457, -497, 56, 164, 734
472, -513, 58, 169, 754
482, -524, 58, 173, 768
492, -537, 58, 178, 784
502, -546, 58, 181, 797
514, -559, 58, 186, 812
524, -571, 58, 191, 827
533, -579, 58, 193, 837
542, -590, 57, 198, 854
553, -601, 57, 202, 867
565, -616, 57, 207, 884
578, -628, 57, 210, 898
588, -639, 57, 216, 915
602, -654, 57, 221, 931
609, -662, 57, 224, 942
622, -676, 56, 228, 958
633, -688, 56, 233, 974
644, -700, 56, 238, 991
654, -712, 56, 241, 1003
666, -725, 52, 246, 1020
680, -740, 52, 251, 1038
688, -749, 52, 255, 1050
701, -764, 51, 260, 1068
708, -772, 51, 262, 1078
720, -787, 51, 267, 1097
731, -799, 51, 271, 1112
739, -808, 51, 275, 1124
752, -822, 51, 280, 1142
763, -835, 51, 285, 1158
773, -847, 51, 289, 1173
784, -860, 51, 292, 1189
794, -873, 51, 298, 1207
808, -887, 53, 303, 1223
817, -896, 53, 306, 1235
839, -920, 57, 315, 1265
848, -931, 57, 318, 1278
858, -942, 57, 323, 1292
866, -953, 57, 327, 1306
881, -968, 59, 332, 1324
894, -981, 59, 337, 1342
906, -994, 59, 341, 1358
924, -1014, 66, 349, 1382
935, -1026, 66, 353, 1397
956, -1048, 68, 362, 1427
972, -1066, 68, 368, 1448
982, -1076, 68, 372, 1460
997, -1094, 66, 377, 1482
1010, -1112, 66, 383, 1504
1021, -1121, 66, 387, 1515
1031, -1132, 68, 391, 1530
1039, -1141, 68, 395, 1541
1051, -1155, 68, 399, 1558
1069, -1176, 62, 406, 1584
1080, -1187, 62, 410, 1598
1090, -1199, 62, 414, 1613
1100, -1211, 48, 418, 1628
1109, -1221, 48, 422, 1641
1116, -1229, 48, 424, 1651
1126, -1242, 48, 428, 1667
1136, -1252, 44, 432, 1680
1147, -1266, 44, 437, 1697
1163, -1283, 44, 443, 1720
1172, -1292, 41, 447, 1731
1182, -1304, 41, 451, 1747
1201, -1326, 41, 459, 1774
1214, -1338, 40, 463, 1788
1223, -1350, 40, 467, 1803
1236, -1362, 40, 472, 1819
1247, -1374, 40, 476, 1835
1259, -1387, 40, 481, 1850
1270, -1399, 40, 486, 1867
1279, -1409, 47, 489, 1878
1291, -1422, 47, 493, 1894
1298, -1430, 47, 497, 1905
1310, -1443, 47, 501, 1921
1319, -1453, 52, 505, 1933
1327, -1462, 52, 508, 1944
1341, -1477, 52, 514, 1963
1350, -1486, 52, 517, 1975
1360, -1497, 56, 520, 1988
1367, -1505, 56, 523, 1998
1374, -1514, 56, 527, 2009
1384, -1524, 56, 530, 2022
1391, -1532, 59, 533, 2032
1399, -1541, 59, 536, 2043
1407, -1550, 59, 540, 2055
1417, -1562, 59, 544, 2069
1424, -1570, 59, 546, 2080
1433, -1579, 58, 550, 2091
1440, -1588, 58, 552, 2102
1447, -1596, 58, 556, 2114
1457, -1607, 58, 559, 2127
1465, -1616, 57, 562, 2138
1472, -1625, 57, 565, 2148
1480, -1633, 57, 568, 2160
1489, -1643, 57, 572, 2173
1498, -1653, 57, 576, 2185
1506, -1663, 57, 579, 2198
1515, -1672, 57, 582, 2209
1524, -1681, 57, 585, 2221
1532, -1691, 57, 589, 2233
1539, -1699, 55, 592, 2243
1549, -1709, 55, 596, 2257
1558, -1719, 55, 599, 2268
1566, -1728, 55, 602, 2280
