motorB, motorC, infra, gyro, time
1584, -1748, 51, 611, 2308
1595, -1759, 51, 614, 2320
1605, -1770, 51, 618, 2333
1613, -1778, 51, 621, 2344
1623, -1790, 51, 625, 2359
1635, -1803, 51, 630, 2375
1643, -1812, 51, 633, 2387
1653, -1823, 50, 637, 2400
1662, -1832, 50, 640, 2410
1670, -1841, 50, 644, 2423
1679, -1851, 50, 647, 2434
1687, -1859, 52, 651, 2445
1694, -1867, 52, 654, 2455
1704, -1878, 52, 658, 2469
1713, -1888, 52, 661, 2481
1721, -1897, 52, 664, 2492
1730, -1907, 54, 668, 2504
1738, -1916, 54, 672, 2517
1748, -1927, 54, 675, 2530
1756, -1936, 54, 678, 2541
1764, -1945, 58, 681, 2552
1772, -1954, 58, 685, 2563
1782, -1965, 58, 688, 2578
1788, -1973, 58, 691, 2588
1797, -1983, 63, 694, 2600
1806, -1992, 63, 697, 2612
1813, -2001, 63, 700, 2622
1822, -2010, 63, 704, 2635
1829, -2019, 67, 708, 2647
1838, -2029, 67, 710, 2658
1845, -2037, 67, 713, 2668
1854, -2048, 67, 717, 2681
